link,name,rating,num_reviewers,type
https://www.google.com/maps/place/Toko+Kopi+Ujung/data=!4m7!3m6!1s0x2dbf02b1d06b879d:0x3456b520bd39d0a2!8m2!3d-5.1373193!4d119.4059802!16s%2Fg%2F1hm4vlkv2!19sChIJnYdr0LECvy0RotA5vSC1VjQ?authuser=0&hl=en&rclk=1,Toko Kopi Ujung,4.5,-524,Coffee shop
https://www.google.com/maps/place/kopiteori/data=!4m7!3m6!1s0x2dbee2a067f42bc5:0xc50608f3407ed8e0!8m2!3d-5.1572607!4d119.4197325!16s%2Fg%2F11b8d3x83w!19sChIJxSv0Z6Divi0R4Nh-QPMIBsU?authuser=0&hl=en&rclk=1,kopiteori,4.6,"-1,597",Coffee shop
https://www.google.com/maps/place/Kopi+Api+Coffee+Roasters/data=!4m7!3m6!1s0x2dbee2e8fdec48bb:0x6ef15a6ac20fbab2!8m2!3d-5.1616122!4d119.4497652!16s%2Fg%2F11ckqsxd27!19sChIJu0js_ejivi0RsroPwmpa8W4?authuser=0&hl=en&rclk=1,Kopi Api Coffee Roasters,4.6,-741,Coffee shop
https://www.google.com/maps/place/Paskop.co/data=!4m7!3m6!1s0x2dbee32f22aeb5d3:0x9bff33639d4051ad!8m2!3d-5.167445!4d119.431145!16s%2Fg%2F11f77yn8hp!19sChIJ07WuIi_jvi0RrVFAnWMz_5s?authuser=0&hl=en&rclk=1,Paskop.co,4.6,-635,Coffee shop
https://www.google.com/maps/place/Kopi+2+SKS/data=!4m7!3m6!1s0x2dbee3e7ab1839af:0xb3a22043a8280e7a!8m2!3d-5.1611758!4d119.4404319!16s%2Fg%2F11mhfp9sx8!19sChIJrzkYq-fjvi0Reg4oqEMgorM?authuser=0&hl=en&rclk=1,Kopi 2 SKS,4.9,-131,Coffee shop
https://www.google.com/maps/place/Rumah+Kopi+Lantai+Atas+%28Ruko+Lantas%29/data=!4m7!3m6!1s0x2dbee39e50d56c73:0x7855f44911aa0523!8m2!3d-5.1664265!4d119.4531485!16s%2Fg%2F11lld2zb_b!19sChIJc2zVUJ7jvi0RIwWqEUn0VXg?authuser=0&hl=en&rclk=1,Rumah Kopi Lantai Atas (Ruko Lantas),4.7,-97,Coffee shop
https://www.google.com/maps/place/Kopi+Riolo/data=!4m7!3m6!1s0x2dbee36ed8647147:0x5f734c14d379f030!8m2!3d-5.1568381!4d119.4200304!16s%2Fg%2F11rj64868j!19sChIJR3Fk2G7jvi0RMPB50xRMc18?authuser=0&hl=en&rclk=1,Kopi Riolo,4.6,-333,Coffee shop
https://www.google.com/maps/place/SS+COFFEE+SPACE/data=!4m7!3m6!1s0x2dbefdbf67f95e07:0x5339055c4aa7222f!8m2!3d-5.1246242!4d119.4293952!16s%2Fg%2F11fks654j1!19sChIJB175Z7_9vi0RLyKnSlwFOVM?authuser=0&hl=en&rclk=1,SS COFFEE SPACE,4.6,-788,Coffee shop
https://www.google.com/maps/place/TEMU+KOPI+TODDOPULI/data=!4m7!3m6!1s0x2dbee322878e8c0d:0x62aaba366553a7f!8m2!3d-5.1652692!4d119.4591234!16s%2Fg%2F11sqkvm2kh!19sChIJDYyOhyLjvi0RfzpVZqOrKgY?authuser=0&hl=en&rclk=1,TEMU KOPI TODDOPULI,4.8,-63,Coffee shop
https://www.google.com/maps/place/Koppi+Makassar/data=!4m7!3m6!1s0x2dbefd34f300372b:0x5427dc086be165c4!8m2!3d-5.123484!4d119.5075127!16s%2Fg%2F11txv8xg3_!19sChIJKzcA8zT9vi0RxGXhawjcJ1Q?authuser=0&hl=en&rclk=1,Koppi Makassar,4.7,-140,Coffee shop
https://www.google.com/maps/place/Kopi+Teko/data=!4m7!3m6!1s0x2dbee369a3730053:0xd7a93f3d4d2eca85!8m2!3d-5.1752081!4d119.439402!16s%2Fg%2F11wjpkcqb7!19sChIJUwBzo2njvi0RhcouTT0_qdc?authuser=0&hl=en&rclk=1,Kopi Teko,4.9,-150,Coffee store
https://www.google.com/maps/place/Kopi+Konnichiwa+-+Singa/data=!4m7!3m6!1s0x2dbee372d40e3409:0x98955b54b66a5cf0!8m2!3d-5.1587126!4d119.4190489!16s%2Fg%2F11mw7h7mvr!19sChIJCTQO1HLjvi0R8FxqtlRblZg?authuser=0&hl=en&rclk=1,Kopi Konnichiwa - Singa,4.8,-233,Coffee shop
https://www.google.com/maps/place/Kopikost+-+Coffee+%26+Roastery/data=!4m7!3m6!1s0x2dbee3712c0af581:0xaf2d95c47093cd0a!8m2!3d-5.1444941!4d119.452607!16s%2Fg%2F11krgnn7dc!19sChIJgfUKLHHjvi0RCs2TcMSVLa8?authuser=0&hl=en&rclk=1,Kopikost - Coffee & Roastery,4.6,-128,Coffee shop
https://www.google.com/maps/place/Eskopi+Monginsidi/data=!4m7!3m6!1s0x2dbee3c06724195f:0x321f5b4eaf0e8e2b!8m2!3d-5.1484951!4d119.4228794!16s%2Fg%2F11v6xtkyvj!19sChIJXxkkZ8Djvi0RK44Or05bHzI?authuser=0&hl=en&rclk=1,Eskopi Monginsidi,4.9,-200,Coffee shop
https://www.google.com/maps/place/Skena+Coffee/data=!4m7!3m6!1s0x2dbf1d007f7c3adb:0xd81190ccc86aebaa!8m2!3d-5.1487837!4d119.4146447!16s%2Fg%2F11vq6kd1h4!19sChIJ2zp8fwAdvy0RqutqyMyQEdg?authuser=0&hl=en&rclk=1,Skena Coffee,4.7,-180,Coffee shop
https://www.google.com/maps/place/MyCoffee/data=!4m7!3m6!1s0x2dbf02b1ee49f125:0xf07d008df6460a46!8m2!3d-5.1363961!4d119.4075414!16s%2Fg%2F11cn7ssqq0!19sChIJJfFJ7rECvy0RRgpG9o0AffA?authuser=0&hl=en&rclk=1,MyCoffee,4.7,-646,Coffee shop
