link,name,rating,num_reviewers,type
https://www.google.com/maps/place/Kopi+Pojok+47+Signature/data=!4m7!3m6!1s0x2dbefdd920e064b9:0x245af13174321c39!8m2!3d-5.1226883!4d119.4186358!16s%2Fg%2F11g_v62qt8!19sChIJuWTgINn9vi0RORwydDHxWiQ?authuser=0&hl=en&rclk=1,Kopi Pojok 47 Signature,4.5,-231,Coffee shop
https://www.google.com/maps/place/KOPI+SENGKA/data=!4m7!3m6!1s0x2dbefd67315cfe1d:0xd53322f3d844bfa3!8m2!3d-5.1278653!4d119.4185808!16s%2Fg%2F11rxj88khq!19sChIJHf5cMWf9vi0Ro79E2PMiM9U?authuser=0&hl=en&rclk=1,KOPI SENGKA,4.7,-56,Coffee shop
https://www.google.com/maps/place/Warkop+Azzahrah+-+Bandang/data=!4m7!3m6!1s0x2dbefd603d2cfe91:0x3236e18c4937f517!8m2!3d-5.1229043!4d119.4186706!16s%2Fg%2F11b77pr8z6!19sChIJkf4sPWD9vi0RF_U3SYzhNjI?authuser=0&hl=en&rclk=1,Warkop Azzahrah - Bandang,4.5,"-1,920",Coffee shop
https://www.google.com/maps/place/Nur+Djiee+Coffee+Shop/data=!4m7!3m6!1s0x2dbefd673a8ed005:0x34f637bb8795c64d!8m2!3d-5.1249889!4d119.4198955!16s%2Fg%2F11gy4mcwzv!19sChIJBdCOOmf9vi0RTcaVh7s39jQ?authuser=0&hl=en&rclk=1,Nur Djiee Coffee Shop,4.8,-46,Cafe
https://www.google.com/maps/place/kotakopi/data=!4m7!3m6!1s0x2dbee393accd0e65:0x6a33f4679568df48!8m2!3d-5.1622504!4d119.4204597!16s%2Fg%2F11vbf3m1v3!19sChIJZQ7NrJPjvi0RSN9olWf0M2o?authuser=0&hl=en&rclk=1,kotakopi,4.9,-37,Coffee shop
https://www.google.com/maps/place/Eureka+CafeStore/data=!4m7!3m6!1s0x2dbefd5870aecf9f:0xb7e04bf0fc768e1c!8m2!3d-5.1315203!4d119.4183486!16s%2Fg%2F11c76yslxd!19sChIJn8-ucFj9vi0RHI52_PBL4Lc?authuser=0&hl=en&rclk=1,Eureka CafeStore,4.2,-65,Cafe
https://www.google.com/maps/place/Rumah+Kopi+Setia/data=!4m7!3m6!1s0x2dbf02a197360ef1:0x2d1688ef40474288!8m2!3d-5.1259252!4d119.4132633!16s%2Fg%2F1hm1qystj!19sChIJ8Q42l6ECvy0RiEJHQO-IFi0?authuser=0&hl=en&rclk=1,Rumah Kopi Setia,4.7,-522,Coffee shop
https://www.google.com/maps/place/Kopi+Tua+Makassar+Kota/data=!4m7!3m6!1s0x2dbee383eecffc57:0xe3ec5a84557cfb93!8m2!3d-5.1572109!4d119.4218899!16s%2Fg%2F11tft9w36c!19sChIJV_zP7oPjvi0Rk_t8VYRa7OM?authuser=0&hl=en&rclk=1,Kopi Tua Makassar Kota,4.9,-11,Coffee stand
https://www.google.com/maps/place/Kopi+Setia/data=!4m7!3m6!1s0x2dbee2ad2f755c8f:0x73689bfd4c657513!8m2!3d-5.1479649!4d119.4285747!16s%2Fg%2F1tvdy4tl!19sChIJj1x1L63ivi0RE3VlTP2baHM?authuser=0&hl=en&rclk=1,Kopi Setia,4.5,-176,Coffee shop
https://www.google.com/maps/place/Kopi+Riolo/data=!4m7!3m6!1s0x2dbee36ed8647147:0x5f734c14d379f030!8m2!3d-5.1568381!4d119.4200304!16s%2Fg%2F11rj64868j!19sChIJR3Fk2G7jvi0RMPB50xRMc18?authuser=0&hl=en&rclk=1,Kopi Riolo,4.6,-333,Coffee shop
https://www.google.com/maps/place/D%27Markaz+coffee/data=!4m7!3m6!1s0x2dbefd81d7316dff:0xb3a3743fa4e84d1e!8m2!3d-5.1292861!4d119.4260547!16s%2Fg%2F11tjh6zk7n!19sChIJ_20x14H9vi0RHk3opD90o7M?authuser=0&hl=en&rclk=1,D'Markaz coffee,4.5,-35,Coffee shop
https://www.google.com/maps/place/Toko+Kopi+Isikepala/data=!4m7!3m6!1s0x2dbee30e14149cf9:0x331eac60b45213dc!8m2!3d-5.1444495!4d119.4525828!16s%2Fg%2F11tn690jf7!19sChIJ-ZwUFA7jvi0R3BNStGCsHjM?authuser=0&hl=en&rclk=1,Toko Kopi Isikepala,4.8,-70,Coffee shop
https://www.google.com/maps/place/OQ+Cafe/data=!4m7!3m6!1s0x2dbefd001a224c1d:0xda4711ea892537bf!8m2!3d-5.1321401!4d119.4267694!16s%2Fg%2F11myjpjgg4!19sChIJHUwiGgD9vi0RvzclieoRR9o?authuser=0&hl=en&rclk=1,OQ Cafe,,,Coffee shop
https://www.google.com/maps/place/Dari+Kopi+Daeng+Tompo/data=!4m7!3m6!1s0x2dbf1de02e3f1a6d:0xe846507b1020eb22!8m2!3d-5.1430498!4d119.4096058!16s%2Fg%2F11lf1_bvt8!19sChIJbRo_LuAdvy0RIusgEHtQRug?authuser=0&hl=en&rclk=1,Dari Kopi Daeng Tompo,4.7,-317,Coffee shop
https://www.google.com/maps/place/Rumah+Kopi+Lantai+Atas+%28Ruko+Lantas%29/data=!4m7!3m6!1s0x2dbee39e50d56c73:0x7855f44911aa0523!8m2!3d-5.1664265!4d119.4531485!16s%2Fg%2F11lld2zb_b!19sChIJc2zVUJ7jvi0RIwWqEUn0VXg?authuser=0&hl=en&rclk=1,Rumah Kopi Lantai Atas (Ruko Lantas),4.7,-97,Coffee shop
https://www.google.com/maps/place/M%27KOPI/data=!4m7!3m6!1s0x2dbefd5016700617:0x94a470be87f45ade!8m2!3d-5.1339396!4d119.4286728!16s%2Fg%2F11c4y5f3y1!19sChIJFwZwFlD9vi0R3lr0h75wpJQ?authuser=0&hl=en&rclk=1,M'KOPI,4.6,-97,Coffee shop
https://www.google.com/maps/place/Kedai+Kopi+Kampoeng/data=!4m7!3m6!1s0x2dbee35c97c37597:0xc3c300fd3872ba2c!8m2!3d-5.1570604!4d119.4376686!16s%2Fg%2F11lgv0_5wr!19sChIJl3XDl1zjvi0RLLpyOP0Aw8M?authuser=0&hl=en&rclk=1,Kedai Kopi Kampoeng,4.5,-158,Coffee shop
https://www.google.com/maps/place/Kopi+2+SKS/data=!4m7!3m6!1s0x2dbee3e7ab1839af:0xb3a22043a8280e7a!8m2!3d-5.1611758!4d119.4404319!16s%2Fg%2F11mhfp9sx8!19sChIJrzkYq-fjvi0Reg4oqEMgorM?authuser=0&hl=en&rclk=1,Kopi 2 SKS,4.9,-131,Coffee shop
https://www.google.com/maps/place/Kopi+Padu+Rasa+-+Sunu/data=!4m7!3m6!1s0x2dbefd92f2db54a7:0xd5fca0e307c02cd9!8m2!3d-5.1294993!4d119.4278716!16s%2Fg%2F11yllj0ndv!19sChIJp1Tb8pL9vi0R2SzAB-Og_NU?authuser=0&hl=en&rclk=1,Kopi Padu Rasa - Sunu,4.6,-5,Coffee shop
https://www.google.com/maps/place/De%27Plano+Cafe/data=!4m7!3m6!1s0x2dbefd5a407ec6a3:0xfc08f4c602a904eb!8m2!3d-5.131704!4d119.4254407!16s%2Fg%2F11gdmf8jlx!19sChIJo8Z-QFr9vi0R6wSpAsb0CPw?authuser=0&hl=en&rclk=1,De'Plano Cafe,4.2,-57,Coffee shop
https://www.google.com/maps/place/Bermula+Kopi+%28Halaman+1%29/data=!4m7!3m6!1s0x2dbefd855ab8ff07:0x1cf7d5c2b8da9dd6!8m2!3d-5.1309786!4d119.4185315!16s%2Fg%2F11t7t_9lbh!19sChIJB_-4WoX9vi0R1p3auMLV9xw?authuser=0&hl=en&rclk=1,Bermula Kopi (Halaman 1),4.8,-63,Coffee shop
