link,name,rating,num_reviewers,type
https://www.google.com/maps/place/kopiteori/data=!4m7!3m6!1s0x2dbee2a067f42bc5:0xc50608f3407ed8e0!8m2!3d-5.1572607!4d119.4197325!16s%2Fg%2F11b8d3x83w!19sChIJxSv0Z6Divi0R4Nh-QPMIBsU?authuser=0&hl=en&rclk=1,kopiteori,4.6,"-1,597",Coffee shop
https://www.google.com/maps/place/KOZI+Coffee+Makassar/data=!4m7!3m6!1s0x2dbf1ded7f604ac3:0xc5e0410c98f3440b!8m2!3d-5.1557488!4d119.4150235!16s%2Fg%2F11fs31vzfp!19sChIJw0pgf-0dvy0RC0TzmAxB4MU?authuser=0&hl=en&rclk=1,KOZI Coffee Makassar,4.6,-385,Coffee shop
https://www.google.com/maps/place/Umbra+Coffee+%26+Roastery/data=!4m7!3m6!1s0x2dbee2a12bd0bb85:0x360475a307357237!8m2!3d-5.1563994!4d119.4210322!16s%2Fg%2F11ggbvqkqr!19sChIJhbvQK6Hivi0RN3I1B6N1BDY?authuser=0&hl=en&rclk=1,Umbra Coffee & Roastery,4.7,-266,Coffee shop
https://www.google.com/maps/place/Toarco+Toraja+Coffee/data=!4m7!3m6!1s0x2dbefd54e41d915b:0x720511cf0e10ed40!8m2!3d-5.1409344!4d119.4212115!16s%2Fg%2F11b77ktxp9!19sChIJW5Ed5FT9vi0RQO0QDs8RBXI?authuser=0&hl=en&rclk=1,Toarco Toraja Coffee,4.5,"-1,157",Coffee shop
https://www.google.com/maps/place/Kopi+Riolo/data=!4m7!3m6!1s0x2dbee36ed8647147:0x5f734c14d379f030!8m2!3d-5.1568381!4d119.4200304!16s%2Fg%2F11rj64868j!19sChIJR3Fk2G7jvi0RMPB50xRMc18?authuser=0&hl=en&rclk=1,Kopi Riolo,4.6,-333,Coffee shop
https://www.google.com/maps/place/Skena+Coffee/data=!4m7!3m6!1s0x2dbf1d007f7c3adb:0xd81190ccc86aebaa!8m2!3d-5.1487837!4d119.4146447!16s%2Fg%2F11vq6kd1h4!19sChIJ2zp8fwAdvy0RqutqyMyQEdg?authuser=0&hl=en&rclk=1,Skena Coffee,4.7,-180,Coffee shop
https://www.google.com/maps/place/Aming+Coffee+Makasar/data=!4m7!3m6!1s0x2dbf1d11f2b47833:0x4d1a48663570d4a7!8m2!3d-5.1486737!4d119.414617!16s%2Fg%2F11w901mp1p!19sChIJM3i08hEdvy0Rp9RwNWZIGk0?authuser=0&hl=en&rclk=1,Aming Coffee Makasar,4.8,-296,Coffee shop
https://www.google.com/maps/place/Anomali+Coffee+Ratulangi/data=!4m7!3m6!1s0x2dbf1d5f72eba96d:0x464dc7cee5557f59!8m2!3d-5.1581398!4d119.4164025!16s%2Fg%2F11gbxcsnmt!19sChIJbanrcl8dvy0RWX9V5c7HTUY?authuser=0&hl=en&rclk=1,Anomali Coffee Ratulangi,4.5,"-1,636",Coffee shop
https://www.google.com/maps/place/Ceylon+coffee/data=!4m7!3m6!1s0x2dbf03b4e4006425:0xfa11c692c983e0b4!8m2!3d-5.1394958!4d119.4098557!16s%2Fg%2F11q24c_x_b!19sChIJJWQA5LQDvy0RtOCDyZLGEfo?authuser=0&hl=en&rclk=1,Ceylon coffee,4.8,-71,Coffee shop
https://www.google.com/maps/place/Toko+Kopi+Ujung/data=!4m7!3m6!1s0x2dbf02b1d06b879d:0x3456b520bd39d0a2!8m2!3d-5.1373193!4d119.4059802!16s%2Fg%2F1hm4vlkv2!19sChIJnYdr0LECvy0RotA5vSC1VjQ?authuser=0&hl=en&rclk=1,Toko Kopi Ujung,4.5,-524,Coffee shop
