link,name,rating,num_reviewers,type
https://www.google.com/maps/place/Rumah+Kopi+Lantai+Atas+%28Ruko+Lantas%29/data=!4m7!3m6!1s0x2dbee39e50d56c73:0x7855f44911aa0523!8m2!3d-5.1664265!4d119.4531485!16s%2Fg%2F11lld2zb_b!19sChIJc2zVUJ7jvi0RIwWqEUn0VXg?authuser=0&hl=en&rclk=1,Rumah Kopi Lantai Atas (Ruko Lantas),4.7,-97,Coffee shop
https://www.google.com/maps/place/Lobi+kopi/data=!4m7!3m6!1s0x2dbee3bd39565139:0x30349f21e4c47de0!8m2!3d-5.1666506!4d119.4945804!16s%2Fg%2F11s554s6dy!19sChIJOVFWOb3jvi0R4H3E5CGfNDA?authuser=0&hl=en&rclk=1,Lobi kopi,4.9,-21,Coffee shop
https://www.google.com/maps/place/Mangala+coffe/data=!4m7!3m6!1s0x2de59d0f1291e905:0x650f411feff02c37!8m2!3d-2.79818!4d115.455429!16s%2Fg%2F11vyhjjd4m!19sChIJBemREg-d5S0RNyzw7x9BD2U?authuser=0&hl=en&rclk=1,Mangala coffe,4.4,-263,Coffee shop
https://www.google.com/maps/place/Teteskopi/data=!4m7!3m6!1s0x2dbee3183dfb034f:0xb8a662581bd32b0f!8m2!3d-5.1500756!4d119.4753722!16s%2Fg%2F11sqpv52ym!19sChIJTwP7PRjjvi0RDyvTG1hiprg?authuser=0&hl=en&rclk=1,Teteskopi,4.6,-107,Coffee shop
https://www.google.com/maps/place/Wam%E2%80%99s+Coffee/data=!4m7!3m6!1s0x2dbee3842495085d:0xb0e893a616846fed!8m2!3d-5.1657571!4d119.4664693!16s%2Fg%2F11srwpc3fj!19sChIJXQiVJITjvi0R7W-EFqaT6LA?authuser=0&hl=en&rclk=1,Wam’s Coffee,4.9,-43,Coffee shop
https://www.google.com/maps/place/kopi+makassar+assalam+cafe/data=!4m7!3m6!1s0x2dbee30054efcdfb:0xe68c8e625b026f07!8m2!3d-5.1670587!4d119.4911597!16s%2Fg%2F11y0tbvkwh!19sChIJ-83vVADjvi0RB28CW2KOjOY?authuser=0&hl=en&rclk=1,kopi makassar assalam cafe,5,-37,Coffee shop
https://www.google.com/maps/place/Hop.in+Coffee/data=!4m7!3m6!1s0x2dbee35bbbeef0eb:0xa35a67ec7f974a3c!8m2!3d-5.1596898!4d119.4594282!16s%2Fg%2F11tf_xqwzd!19sChIJ6_Duu1vjvi0RPEqXf-xnWqM?authuser=0&hl=en&rclk=1,Hop.in Coffee,4.8,-39,Coffee shop
https://www.google.com/maps/place/kopiapi+coffee+roaster+3.0+manggala+junction/data=!4m7!3m6!1s0x2dbefb8712a00b53:0xd195533213da60ee!8m2!3d-5.0945442!4d119.5121319!16s%2Fg%2F11f2dsf2nv!19sChIJUwugEof7vi0R7mDaEzJTldE?authuser=0&hl=en&rclk=1,kopiapi coffee roaster 3.0 manggala junction,4.6,-175,Espresso bar
https://www.google.com/maps/place/Sumber+Djaya+Coffee/data=!4m7!3m6!1s0x2dbee3f2f3862561:0x765b2bb16243428f!8m2!3d-5.1714881!4d119.4642703!16s%2Fg%2F11pdsck6ts!19sChIJYSWG8_Ljvi0Rj0JDYrErW3Y?authuser=0&hl=en&rclk=1,Sumber Djaya Coffee,4.8,-12,Coffee shop
https://www.google.com/maps/place/LABN+COFFEE/data=!4m7!3m6!1s0x2dbee32977e68ecb:0xeb0762998375f03!8m2!3d-5.1758588!4d119.4774251!16s%2Fg%2F11s78s6980!19sChIJy47mdynjvi0RA183mCl2sA4?authuser=0&hl=en&rclk=1,LABN COFFEE,4.8,-19,Coffee shop
