link,name,rating,num_reviewers,type
https://www.google.com/maps/place/KOZI+Coffee+Makassar/data=!4m7!3m6!1s0x2dbf1ded7f604ac3:0xc5e0410c98f3440b!8m2!3d-5.1557488!4d119.4150235!16s%2Fg%2F11fs31vzfp!19sChIJw0pgf-0dvy0RC0TzmAxB4MU?authuser=0&hl=en&rclk=1,KOZI Coffee Makassar,4.6,-385,Coffee shop
https://www.google.com/maps/place/Anomali+Coffee+Ratulangi/data=!4m7!3m6!1s0x2dbf1d5f72eba96d:0x464dc7cee5557f59!8m2!3d-5.1581398!4d119.4164025!16s%2Fg%2F11gbxcsnmt!19sChIJbanrcl8dvy0RWX9V5c7HTUY?authuser=0&hl=en&rclk=1,Anomali Coffee Ratulangi,4.5,"-1,636",Coffee shop
https://www.google.com/maps/place/Sudut+Senang/data=!4m7!3m6!1s0x2dbf1dc6dacef553:0x388599c0b48f1712!8m2!3d-5.1508816!4d119.4133372!16s%2Fg%2F11ylwgm1ns!19sChIJU_XO2sYdvy0REhePtMCZhTg?authuser=0&hl=en&rclk=1,Sudut Senang,5,-21,Coffee shop
https://www.google.com/maps/place/KOPITIAM+MAKASSAR+-+HAJI+BAU/data=!4m7!3m6!1s0x2dbf1d57f3826013:0x18ba4c1ae0af963e!8m2!3d-5.1487725!4d119.412826!16s%2Fg%2F11gr0hl64p!19sChIJE2CC81cdvy0RPpav4BpMuhg?authuser=0&hl=en&rclk=1,KOPITIAM MAKASSAR - HAJI BAU,4.6,-805,Cafe
https://www.google.com/maps/place/Nurimo+Coffee+%26+Eatery/data=!4m7!3m6!1s0x2dbf1dfd07795ba1:0x4b3bf29df55aad19!8m2!3d-5.1604009!4d119.4093783!16s%2Fg%2F11tjrl9jcb!19sChIJoVt5B_0dvy0RGa1a9Z3yO0s?authuser=0&hl=en&rclk=1,Nurimo Coffee & Eatery,4.4,-59,Cafe
https://www.google.com/maps/place/Notion+coffee/data=!4m7!3m6!1s0x2dbf1dcd5f90256f:0x7c0eed053124769b!8m2!3d-5.1641082!4d119.4124399!16s%2Fg%2F11t03tt91z!19sChIJbyWQX80dvy0Rm3YkMQXtDnw?authuser=0&hl=en&rclk=1,Notion coffee,4.8,-35,Coffee shop
https://www.google.com/maps/place/Skena+Coffee/data=!4m7!3m6!1s0x2dbf1d007f7c3adb:0xd81190ccc86aebaa!8m2!3d-5.1487837!4d119.4146447!16s%2Fg%2F11vq6kd1h4!19sChIJ2zp8fwAdvy0RqutqyMyQEdg?authuser=0&hl=en&rclk=1,Skena Coffee,4.7,-180,Coffee shop
https://www.google.com/maps/place/Kopi+titik+senja/data=!4m7!3m6!1s0x2dbf1dc38977ef77:0x2b119501052724e3!8m2!3d-5.1519449!4d119.4106056!16s%2Fg%2F11r10s2qrf!19sChIJd-93icMdvy0R4yQnBQGVESs?authuser=0&hl=en&rclk=1,Kopi titik senja,4.9,-27,Coffee shop
https://www.google.com/maps/place/Niels+Cafe+Mappanyuki/data=!4m7!3m6!1s0x2dbf1d1fe188d2fd:0x44fee89b0872ffb4!8m2!3d-5.153496!4d119.4149126!16s%2Fg%2F11j_8336_x!19sChIJ_dKI4R8dvy0RtP9yCJvo_kQ?authuser=0&hl=en&rclk=1,Niels Cafe Mappanyuki,4.8,-304,Coffee shop
https://www.google.com/maps/place/Senopati+Coffee+and+Eatery/data=!4m7!3m6!1s0x2dbf1de6eb2ed497:0xb9eaea23924944db!8m2!3d-5.1498669!4d119.415413!16s%2Fg%2F11vc7tq1j9!19sChIJl9Qu6-Ydvy0R20RJkiPq6rk?authuser=0&hl=en&rclk=1,Senopati Coffee and Eatery,4.4,-170,Coffee shop
https://www.google.com/maps/place/Aming+Coffee+Makasar/data=!4m7!3m6!1s0x2dbf1d11f2b47833:0x4d1a48663570d4a7!8m2!3d-5.1486737!4d119.414617!16s%2Fg%2F11w901mp1p!19sChIJM3i08hEdvy0Rp9RwNWZIGk0?authuser=0&hl=en&rclk=1,Aming Coffee Makasar,4.8,-296,Coffee shop
https://www.google.com/maps/place/Janji+Jiwa+%26+Jiwa+Toast+CPI/data=!4m7!3m6!1s0x2dbf1d9b54779061:0x90d63a03c8fed81b!8m2!3d-5.1494015!4d119.3981171!16s%2Fg%2F11rql84hkd!19sChIJYZB3VJsdvy0RG9j-yAM61pA?authuser=0&hl=en&rclk=1,Janji Jiwa & Jiwa Toast CPI,4.6,-266,Coffee shop
https://www.google.com/maps/place/EsKopi+Daeng+Tata+Raya/data=!4m7!3m6!1s0x2dbf1d42ab35342b:0xc2e4f01e1c970436!8m2!3d-5.1814812!4d119.4181503!16s%2Fg%2F11vcx4ws_h!19sChIJKzQ1q0Idvy0RNgSXHB7w5MI?authuser=0&hl=en&rclk=1,EsKopi Daeng Tata Raya,4.9,-105,Coffee shop
https://www.google.com/maps/place/Warung+Kopi+Topanri/data=!4m7!3m6!1s0x2dbf1d5eead94c77:0x38f5337d055b3550!8m2!3d-5.1572361!4d119.4135991!16s%2Fg%2F11hbjhtvt0!19sChIJd0zZ6l4dvy0RUDVbBX0z9Tg?authuser=0&hl=en&rclk=1,Warung Kopi Topanri,4.5,-91,Coffee shop
https://www.google.com/maps/place/Haloman+Coffee/data=!4m7!3m6!1s0x2dbf1d5deff13e95:0x4ce9652f112abd0a!8m2!3d-5.1605229!4d119.4113382!16s%2Fg%2F11dxbj_hxt!19sChIJlT7x710dvy0RCr0qES9l6Uw?authuser=0&hl=en&rclk=1,Haloman Coffee,4.5,-95,Cafe
https://www.google.com/maps/place/District+27+Coffee/data=!4m7!3m6!1s0x2dbf1d0046fd8dfb:0xcf3296b4449e5659!8m2!3d-5.1510356!4d119.4147544!16s%2Fg%2F11wx8l1q97!19sChIJ-439RgAdvy0RWVaeRLSWMs8?authuser=0&hl=en&rclk=1,District 27 Coffee,4.5,-104,Cafe
https://www.google.com/maps/place/TOKO+KOPI+RAMOEH/data=!4m7!3m6!1s0x2dbf1de373b24a51:0x848153119903d032!8m2!3d-5.1573004!4d119.4092702!16s%2Fg%2F11h6sllt28!19sChIJUUqyc-Mdvy0RMtADmRFTgYQ?authuser=0&hl=en&rclk=1,TOKO KOPI RAMOEH,4.9,-14,Coffee shop
https://www.google.com/maps/place/Kopi+Cendrawasih/data=!4m7!3m6!1s0x2dbf1d60c8446709:0x978498800570bec2!8m2!3d-5.1624729!4d119.412735!16s%2Fg%2F11b774vvzj!19sChIJCWdEyGAdvy0Rwr5wBYCYhJc?authuser=0&hl=en&rclk=1,Kopi Cendrawasih,4.5,-20,Coffee shop
https://www.google.com/maps/place/Taobun/data=!4m7!3m6!1s0x2dbf1d9e8ffef533:0x3b6f886ec3f09860!8m2!3d-5.1606053!4d119.4088329!16s%2Fg%2F11pv0g9j__!19sChIJM_X-j54dvy0RYJjww26Ibzs?authuser=0&hl=en&rclk=1,Taobun,4.4,-361,Coffee shop
https://www.google.com/maps/place/Tanamera+Coffee+-+Makassar/data=!4m7!3m6!1s0x2dbf1d457ad1f03d:0x141478b4572af91!8m2!3d-5.1520249!4d119.4041056!16s%2Fg%2F11dftpk1zx!19sChIJPfDRekUdvy0Rka9yRYtHQQE?authuser=0&hl=en&rclk=1,Tanamera Coffee - Makassar,4.6,-954,Coffee shop
https://www.google.com/maps/place/Kopi+TAWA/data=!4m7!3m6!1s0x2dbf1d1422f982f1:0xbc73c39a1bc828b7!8m2!3d-5.1589024!4d119.4166774!16s%2Fg%2F11l1nw7c8t!19sChIJ8YL5IhQdvy0RtyjIG5rDc7w?authuser=0&hl=en&rclk=1,Kopi TAWA,4.6,-40,Coffee shop
https://www.google.com/maps/place/es+kopi+seroja/data=!4m7!3m6!1s0x2dbf1d316caa66b7:0x9780991b1c3aadd0!8m2!3d-5.1576648!4d119.4071479!16s%2Fg%2F11y8kj94fb!19sChIJt2aqbDEdvy0R0K06HBuZgJc?authuser=0&hl=en&rclk=1,es kopi seroja,5,-6,Coffee shop
https://www.google.com/maps/place/Warkop+HB/data=!4m7!3m6!1s0x2dbf1d87cfeca7f5:0x2dbce34e9d512ac9!8m2!3d-5.1487237!4d119.4126692!16s%2Fg%2F11rmrx9lgv!19sChIJ9afsz4cdvy0RySpRnU7jvC0?authuser=0&hl=en&rclk=1,Warkop HB,4.6,-72,Coffee shop
https://www.google.com/maps/place/KOPI+KALCER+GO/data=!4m7!3m6!1s0x2dbf1d002c2ed473:0x9dbd0d16ed18c8dc!8m2!3d-5.1650195!4d119.4079294!16s%2Fg%2F11yvpcp20v!19sChIJc9QuLAAdvy0R3MgY7RYNvZ0?authuser=0&hl=en&rclk=1,KOPI KALCER GO,5,-1,Coffee shop
https://www.google.com/maps/place/Soare+Coffee+and+Eatery/data=!4m7!3m6!1s0x2dbf1d07b31d0115:0x5d54097d7b394924!8m2!3d-5.1652669!4d119.4121926!16s%2Fg%2F11lnnnj9cy!19sChIJFQEdswcdvy0RJEk5e30JVF0?authuser=0&hl=en&rclk=1,Soare Coffee and Eatery,5,-5,Coffee shop
https://www.google.com/maps/place/Warung+Kopi+Sija+Cendrawasih/data=!4m7!3m6!1s0x2dbf1d6f74a02533:0xfc7ee4277ce0bbe6!8m2!3d-5.1495718!4d119.4132775!16s%2Fg%2F11t9cq5gcz!19sChIJMyWgdG8dvy0R5rvgfCfkfvw?authuser=0&hl=en&rclk=1,Warung Kopi Sija Cendrawasih,4.9,-10,Coffee shop
https://www.google.com/maps/place/Kopi+Toraja+Premium+Arabika+dan+Robusta+cocok+juga+sebagai+oleh+oleh/data=!4m7!3m6!1s0x2dbf1d58e325cb19:0x23007e2999ca7fa2!8m2!3d-5.1547619!4d119.4152978!16s%2Fg%2F11c1nxztj8!19sChIJGcsl41gdvy0Ron_KmSl-ACM?authuser=0&hl=en&rclk=1,Kopi Toraja Premium Arabika dan Robusta cocok juga sebagai oleh oleh,5,-132,Cafe
