link,name,rating,num_reviewers,type
https://www.google.com/maps/place/Kopi+Teori+New+Chapter/data=!4m7!3m6!1s0x2dbee39ba6212c83:0xe8736846f54a9d0e!8m2!3d-5.1552828!4d119.4401047!16s%2Fg%2F11k860dmzv!19sChIJgywhppvjvi0RDp1K9UZoc-g?authuser=0&hl=en&rclk=1,Kopi Teori New Chapter,4.7,-452,Coffee shop
https://www.google.com/maps/place/Kopikost+-+Coffee+%26+Roastery/data=!4m7!3m6!1s0x2dbee3712c0af581:0xaf2d95c47093cd0a!8m2!3d-5.1444941!4d119.452607!16s%2Fg%2F11krgnn7dc!19sChIJgfUKLHHjvi0RCs2TcMSVLa8?authuser=0&hl=en&rclk=1,Kopikost - Coffee & Roastery,4.6,-128,Coffee shop
https://www.google.com/maps/place/Melos+Coffee+%26+Eatery/data=!4m7!3m6!1s0x2dbefd737269bf67:0x7ba1cb8b42091d12!8m2!3d-5.1354544!4d119.434586!16s%2Fg%2F11ptn4r6p9!19sChIJZ79pcnP9vi0REh0JQovLoXs?authuser=0&hl=en&rclk=1,Melos Coffee & Eatery,4.3,-311,Coffee shop
https://www.google.com/maps/place/Institut+KOPI/data=!4m7!3m6!1s0x2dbee38ee83cd1e3:0x8f7554dcd29b8177!8m2!3d-5.1543094!4d119.4391305!16s%2Fg%2F11sbqlt5d5!19sChIJ49E86I7jvi0Rd4Gb0txUdY8?authuser=0&hl=en&rclk=1,Institut KOPI,4.7,-183,Coffee shop
https://www.google.com/maps/place/Postropis+Coffee+%26+Space/data=!4m7!3m6!1s0x2dbefd04e2454fd1:0x7707dc1f4e0e0fb!8m2!3d-5.1329919!4d119.4332702!16s%2Fg%2F11n7p0ff_3!19sChIJ0U9F4gT9vi0R--Dg9MF9cAc?authuser=0&hl=en&rclk=1,Postropis Coffee & Space,4.8,-81,Coffee shop
https://www.google.com/maps/place/Kopi+Soe+Panakkukang/data=!4m7!3m6!1s0x2dbee3bfd219c0b5:0x2eaa9861295293ee!8m2!3d-5.1556002!4d119.4441017!16s%2Fg%2F11fn9t48nm!19sChIJtcAZ0r_jvi0R7pNSKWGYqi4?authuser=0&hl=en&rclk=1,Kopi Soe Panakkukang,4.6,-271,Cafe
https://www.google.com/maps/place/Myko+Cafe-Panakkukang/data=!4m7!3m6!1s0x2dbee3f30454fb39:0xec58561ce2f72f41!8m2!3d-5.1570495!4d119.4469294!16s%2Fg%2F11h3bglyc5!19sChIJOftUBPPjvi0RQS_34hxWWOw?authuser=0&hl=en&rclk=1,Myko Cafe-Panakkukang,4.8,-288,Cafe
https://www.google.com/maps/place/Konya+Coffee+%26+Eatery+%28Ex-Bonefa%29/data=!4m7!3m6!1s0x2dbee393a21bb68d:0x818033830a6e7929!8m2!3d-5.1462954!4d119.4503679!16s%2Fg%2F11rgc6brlv!19sChIJjbYbopPjvi0RKXluCoMzgIE?authuser=0&hl=en&rclk=1,Konya Coffee & Eatery (Ex-Bonefa),4.7,-68,Cafe
https://www.google.com/maps/place/Kopi+Api+Coffee+Roasters/data=!4m7!3m6!1s0x2dbee2e8fdec48bb:0x6ef15a6ac20fbab2!8m2!3d-5.1616122!4d119.4497652!16s%2Fg%2F11ckqsxd27!19sChIJu0js_ejivi0RsroPwmpa8W4?authuser=0&hl=en&rclk=1,Kopi Api Coffee Roasters,4.6,-741,Coffee shop
https://www.google.com/maps/place/Pojok+kopi+topaz/data=!4m7!3m6!1s0x2dbee33e76fd6765:0xf1f342abf6bda553!8m2!3d-5.1540228!4d119.4398174!16s%2Fg%2F11fmdwz9s2!19sChIJZWf9dj7jvi0RU6W99qtC8_E?authuser=0&hl=en&rclk=1,Pojok kopi topaz,4.9,-344,Coffee shop
https://www.google.com/maps/place/Kaori+Coffee/data=!4m7!3m6!1s0x2dbee34a55a680e5:0xe9956664af25feaa!8m2!3d-5.1594614!4d119.4442301!16s%2Fg%2F11tn9843yh!19sChIJ5YCmVUrjvi0Rqv4lr2Rmlek?authuser=0&hl=en&rclk=1,Kaori Coffee,4.9,-65,Coffee shop
https://www.google.com/maps/place/Kopiteori+Boulevard/data=!4m7!3m6!1s0x2dbee323c9cc71dd:0x1e936b62b27a9dbe!8m2!3d-5.1553447!4d119.4401516!16s%2Fg%2F11ljyn35pf!19sChIJ3XHMySPjvi0Rvp16smJrkx4?authuser=0&hl=en&rclk=1,Kopiteori Boulevard,4.3,-68,Coffee shop
https://www.google.com/maps/place/Squid+Coffee/data=!4m7!3m6!1s0x2dbee357e932b365:0x1cea0d636cfd21d4!8m2!3d-5.1545807!4d119.4410442!16s%2Fg%2F11vcl67k6f!19sChIJZbMy6Vfjvi0R1CH9bGMN6hw?authuser=0&hl=en&rclk=1,Squid Coffee,4.9,-715,Coffee shop
https://www.google.com/maps/place/Kopiology/data=!4m7!3m6!1s0x2dbee39d5b66969f:0x1292faf4c306857!8m2!3d-5.1557168!4d119.4440397!16s%2Fg%2F11j3w86xq5!19sChIJn5ZmW53jvi0RV2gwTK8vKQE?authuser=0&hl=en&rclk=1,Kopiology,4.6,-214,Cafe
https://www.google.com/maps/place/Kopi+paste/data=!4m7!3m6!1s0x2dbee3ec0986eaf9:0x8a42b5225a965704!8m2!3d-5.1550661!4d119.4427948!16s%2Fg%2F11m9qnxz1t!19sChIJ-eqGCezjvi0RBFeWWiK1Qoo?authuser=0&hl=en&rclk=1,Kopi paste,4.7,-86,Coffee shop
https://www.google.com/maps/place/Kaori+Coffee+-+Adyaksa17/data=!4m7!3m6!1s0x2dbee30053708085:0x498b4ea898b2bcc2!8m2!3d-5.1610008!4d119.4457964!16s%2Fg%2F11xds541by!19sChIJhYBwUwDjvi0RwryymKhOi0k?authuser=0&hl=en&rclk=1,Kaori Coffee - Adyaksa17,4.9,-277,Coffee shop
https://www.google.com/maps/place/Titik+Ngopi+Cafe/data=!4m7!3m6!1s0x2dbee36542beebe5:0x13e2957e2bd0c9fb!8m2!3d-5.1622897!4d119.4444597!16s%2Fg%2F11p02pdb2c!19sChIJ5eu-QmXjvi0R-8nQK36V4hM?authuser=0&hl=en&rclk=1,Titik Ngopi Cafe,4.7,-71,Coffee shop
https://www.google.com/maps/place/PHOENAM/data=!4m7!3m6!1s0x2dbee2c1714feb77:0xdc450bb4479faebf!8m2!3d-5.155147!4d119.4404195!16s%2Fg%2F1pzs6jj7s!19sChIJd-tPccHivi0Rv66fR7QLRdw?authuser=0&hl=en&rclk=1,PHOENAM,4.5,-644,Coffee shop
https://www.google.com/maps/place/Kaganga+Coffee+-+Boungenville/data=!4m7!3m6!1s0x2dbee3f376e36c0b:0xf0a2fa94e8c6dc63!8m2!3d-5.1584012!4d119.4448269!16s%2Fg%2F11gy310m7v!19sChIJC2zjdvPjvi0RY9zG6JT6ovA?authuser=0&hl=en&rclk=1,Kaganga Coffee - Boungenville,4.7,-330,Coffee shop
"https://www.google.com/maps/place/Fore+Coffee+-+Mall+Panakkukang,+Makassar/data=!4m7!3m6!1s0x2dbee3d89a29f5ef:0x7537c98d7b2923a!8m2!3d-5.1577506!4d119.446921!16s%2Fg%2F11rylk_ztv!19sChIJ7_Upmtjjvi0ROpKy15h8Uwc?authuser=0&hl=en&rclk=1","Fore Coffee - Mall Panakkukang, Makassar",3.8,-148,Coffee shop
https://www.google.com/maps/place/KopTu+Authentic+Makassar/data=!4m7!3m6!1s0x2dbee33297a53029:0x1c851ce2994fa7c7!8m2!3d-5.1585308!4d119.4523941!16s%2Fg%2F11rvbmf3r1!19sChIJKTCllzLjvi0Rx6dPmeIchRw?authuser=0&hl=en&rclk=1,KopTu Authentic Makassar,4.9,-64,Coffee shop
https://www.google.com/maps/place/Kopizone+Prime/data=!4m7!3m6!1s0x2dbee2b8ad10e00b:0x373e2d1f097b2027!8m2!3d-5.1551996!4d119.4406259!16s%2Fg%2F11bw3c4nn1!19sChIJC-AQrbjivi0RJyB7CR8tPjc?authuser=0&hl=en&rclk=1,Kopizone Prime,4.5,-355,Coffee shop
