link,name,rating,num_reviewers,type
https://www.google.com/maps/place/Paskop.co/data=!4m7!3m6!1s0x2dbee32f22aeb5d3:0x9bff33639d4051ad!8m2!3d-5.167445!4d119.431145!16s%2Fg%2F11f77yn8hp!19sChIJ07WuIi_jvi0RrVFAnWMz_5s?authuser=0&hl=en&rclk=1,Paskop.co,4.6,-635,Coffee shop
https://www.google.com/maps/place/Cabana+Coffee+and+Eatery/data=!4m7!3m6!1s0x2dbee3120afa1d6d:0xce89eb7d9a9b0662!8m2!3d-5.1753114!4d119.4554897!16s%2Fg%2F11sdxhgzgm!19sChIJbR36ChLjvi0RYgabmn3ric4?authuser=0&hl=en&rclk=1,Cabana Coffee and Eatery,4.6,-78,Coffee shop
https://www.google.com/maps/place/Kinawa+Coffee/data=!4m7!3m6!1s0x2dbee39d257928cd:0xa8acff6fa263007e!8m2!3d-5.1496308!4d119.4353298!16s%2Fg%2F11j5ccjdks!19sChIJzSh5JZ3jvi0RfgBjom__rKg?authuser=0&hl=en&rclk=1,Kinawa Coffee,4.8,-94,Coffee shop
https://www.google.com/maps/place/Coffee+Solution/data=!4m7!3m6!1s0x2dbee3e8032dbdf7:0x255d4a82bc74661a!8m2!3d-5.1761831!4d119.4574832!16s%2Fg%2F11kptnr6wz!19sChIJ970tA-jjvi0RGmZ0vIJKXSU?authuser=0&hl=en&rclk=1,Coffee Solution,4.7,-39,Coffee shop
https://www.google.com/maps/place/MOOVS+from+Tastea+-+Rappocini/data=!4m7!3m6!1s0x2dbee3a5d4bebeef:0xa28523ad15548993!8m2!3d-5.1597965!4d119.4356554!16s%2Fg%2F11xc_f17dr!19sChIJ776-1KXjvi0Rk4lUFa0jhaI?authuser=0&hl=en&rclk=1,MOOVS from Tastea - Rappocini,4.9,-49,Coffee shop
https://www.google.com/maps/place/Tamamito+Coffee/data=!4m7!3m6!1s0x2dbee3e419ccd0f7:0xf5aacca41610ba53!8m2!3d-5.1793896!4d119.4614204!16s%2Fg%2F11sx2nq22z!19sChIJ99DMGeTjvi0RU7oQFqTMqvU?authuser=0&hl=en&rclk=1,Tamamito Coffee,4.9,-68,Coffee shop
https://www.google.com/maps/place/JAJINI+Co+Brewing+Space/data=!4m7!3m6!1s0x2dbee325d7b9bdeb:0xace1617adc5493fc!8m2!3d-5.1503931!4d119.431417!16s%2Fg%2F11smt1s3hf!19sChIJ67251yXjvi0R_JNU3Hph4aw?authuser=0&hl=en&rclk=1,JAJINI Co Brewing Space,4.9,-54,Coffee shop
https://www.google.com/maps/place/Kopi+Break/data=!4m7!3m6!1s0x2dbee3b3970e15ad:0xb0b028bbff7cac01!8m2!3d-5.1702429!4d119.4369989!16s%2Fg%2F11m_h4l5qr!19sChIJrRUOl7Pjvi0RAax8_7sosLA?authuser=0&hl=en&rclk=1,Kopi Break,4.8,-118,Cafe
https://www.google.com/maps/place/442+Coffee+Rappocini/data=!4m7!3m6!1s0x2dbee3000553741f:0xd0240dd86d4cec74!8m2!3d-5.1520568!4d119.4298223!16s%2Fg%2F11yqtvjzrh!19sChIJH3RTBQDjvi0RdOxMbdgNJNA?authuser=0&hl=en&rclk=1,442 Coffee Rappocini,5,-1,Coffee shop
https://www.google.com/maps/place/Kopi+Teko/data=!4m7!3m6!1s0x2dbee369a3730053:0xd7a93f3d4d2eca85!8m2!3d-5.1752081!4d119.439402!16s%2Fg%2F11wjpkcqb7!19sChIJUwBzo2njvi0RhcouTT0_qdc?authuser=0&hl=en&rclk=1,Kopi Teko,4.9,-150,Coffee store
