link,name,rating,num_reviewers,type
https://www.google.com/maps/place/SS+COFFEE+SPACE/data=!4m7!3m6!1s0x2dbefdbf67f95e07:0x5339055c4aa7222f!8m2!3d-5.1246242!4d119.4293952!16s%2Fg%2F11fks654j1!19sChIJB175Z7_9vi0RLyKnSlwFOVM?authuser=0&hl=en&rclk=1,SS COFFEE SPACE,4.6,-788,Coffee shop
https://www.google.com/maps/place/Kopi+Sija+Rappokalling/data=!4m7!3m6!1s0x2dbee300229d3e21:0xc55dcc7af55c2cf7!8m2!3d-5.12628!4d119.4397558!16s%2Fg%2F11vt60pk87!19sChIJIT6dIgDjvi0R9yxc9XrMXcU?authuser=0&hl=en&rclk=1,Kopi Sija Rappokalling,5,-22,Coffee shop
https://www.google.com/maps/place/148+Coffee+Shop/data=!4m7!3m6!1s0x2dbefd4302e242f7:0x9ba2d5b852e7eb24!8m2!3d-5.1258269!4d119.4318026!16s%2Fg%2F1hm6d55b0!19sChIJ90LiAkP9vi0RJOvnUrjVops?authuser=0&hl=en&rclk=1,148 Coffee Shop,4.5,-538,Coffee shop
https://www.google.com/maps/place/Mimesis+Coffee+and+Studio/data=!4m7!3m6!1s0x2dbefd8852520269:0x432e74bcfe235462!8m2!3d-5.123929!4d119.4396557!16s%2Fg%2F11ql_24513!19sChIJaQJSUoj9vi0RYlQj_rx0LkM?authuser=0&hl=en&rclk=1,Mimesis Coffee and Studio,4.9,-20,Coffee shop
https://www.google.com/maps/place/Tallo/data=!4m7!3m6!1s0x2dbefd007cd1c489:0xcd0bd92c01c518f8!8m2!3d-5.106055!4d119.4384316!16s%2Fg%2F11ypw8_j7d!19sChIJicTRfAD9vi0R-BjFASzZC80?authuser=0&hl=en&rclk=1,Tallo,,,Coffee shop
https://www.google.com/maps/place/Kopi+Koma+Palopo/data=!4m7!3m6!1s0x2d915f4dfff511d7:0x1384b9800893b8c9!8m2!3d-3.0093361!4d120.207358!16s%2Fg%2F11fv4sf527!19sChIJ1xH1_01fkS0RybiTCIC5hBM?authuser=0&hl=en&rclk=1,Kopi Koma Palopo,5,-41,Coffee shop
https://www.google.com/maps/place/EJA_COFFEE/data=!4m7!3m6!1s0x2dbefd5014485a49:0xf0d19fad2835986!8m2!3d-5.1287063!4d119.4299604!16s%2Fg%2F11b77ds51s!19sChIJSVpIFFD9vi0RhlmD0voZDQ8?authuser=0&hl=en&rclk=1,EJA_COFFEE,4.5,-121,Coffee shop
https://www.google.com/maps/place/Dwaga+Coffee/data=!4m7!3m6!1s0x2dbefd096c51b0e7:0x10bfce6775892859!8m2!3d-5.12702!4d119.4375766!16s%2Fg%2F11kqs9wdz9!19sChIJ57BRbAn9vi0RWSiJdWfOvxA?authuser=0&hl=en&rclk=1,Dwaga Coffee,4.9,-30,Cafe
https://www.google.com/maps/place/Kopi+Riolo/data=!4m7!3m6!1s0x2dbee36ed8647147:0x5f734c14d379f030!8m2!3d-5.1568381!4d119.4200304!16s%2Fg%2F11rj64868j!19sChIJR3Fk2G7jvi0RMPB50xRMc18?authuser=0&hl=en&rclk=1,Kopi Riolo,4.6,-333,Coffee shop
https://www.google.com/maps/place/Tifa+Kopi+%26+Laundry/data=!4m7!3m6!1s0x2dbefdc31b9aa685:0x79a70061581c78ef!8m2!3d-5.1175883!4d119.4334677!16s%2Fg%2F11k60wf7zy!19sChIJhaaaG8P9vi0R73gcWGEAp3k?authuser=0&hl=en&rclk=1,Tifa Kopi & Laundry,4.9,-32,Cafe
https://www.google.com/maps/place/Turatea+Coffee/data=!4m7!3m6!1s0x2dbefd4006b960a3:0x46d4204c35bc3f34!8m2!3d-5.1231145!4d119.4408221!16s%2Fg%2F11c7vt3hxh!19sChIJo2C5BkD9vi0RND-8NUwg1EY?authuser=0&hl=en&rclk=1,Turatea Coffee,4.7,-63,Cafe
https://www.google.com/maps/place/Teras+Kopi+166/data=!4m7!3m6!1s0x2dbefdc7bd66a617:0x147bdcfed53c81dd!8m2!3d-5.1152057!4d119.42259!16s%2Fg%2F11rjz9wnv_!19sChIJF6Zmvcf9vi0R3YE81f7cexQ?authuser=0&hl=en&rclk=1,Teras Kopi 166,4.7,-14,Coffee shop
https://www.google.com/maps/place/eiyo+coffe/data=!4m7!3m6!1s0x2dbefd007028d459:0x7ffad9941a4667b4!8m2!3d-5.1253442!4d119.4289181!16s%2Fg%2F11lv4q6x1x!19sChIJWdQocAD9vi0RtGdGGpTZ-n8?authuser=0&hl=en&rclk=1,eiyo coffe,4.9,-31,Coffee shop
https://www.google.com/maps/place/STORIA+Korban+X+BROZKA+Bilyard/data=!4m7!3m6!1s0x2dbefd002287b3bf:0xdc81b46cb09f87b7!8m2!3d-5.122459!4d119.4369828!16s%2Fg%2F11w2bjp174!19sChIJv7OHIgD9vi0Rt4efsGy0gdw?authuser=0&hl=en&rclk=1,STORIA Korban X BROZKA Bilyard,4.7,-75,Coffee shop
https://www.google.com/maps/place/Adiva+Rong/data=!4m7!3m6!1s0x2dbefd649e8cee05:0x8d1fedf6b513add3!8m2!3d-5.1144358!4d119.4214486!16s%2Fg%2F11f15dtmbq!19sChIJBe6MnmT9vi0R060TtfbtH40?authuser=0&hl=en&rclk=1,Adiva Rong,5,-11,Coffee shop
https://www.google.com/maps/place/AN+Drink+%26+Fruit/data=!4m7!3m6!1s0x2dbefd00349b1f25:0x285d2332e6798ea8!8m2!3d-5.1240707!4d119.4419397!16s%2Fg%2F11x0jhc7jv!19sChIJJR-bNAD9vi0RqI555jIjXSg?authuser=0&hl=en&rclk=1,AN Drink & Fruit,5,-55,Coffee shop
https://www.google.com/maps/place/Kopi+Toraja+Asli/data=!4m7!3m6!1s0x2dbefdcbff0482d7:0x4a50eb5c6fefba36!8m2!3d-5.1292048!4d119.4385474!16s%2Fg%2F11jv3nfkys!19sChIJ14IE_8v9vi0RNrrvb1zrUEo?authuser=0&hl=en&rclk=1,Kopi Toraja Asli,5,-3,Cafe
https://www.google.com/maps/place/Warkop+157/data=!4m7!3m6!1s0x2dbefd420965628b:0xb09c2d0f898a79b6!8m2!3d-5.1233831!4d119.4344349!16s%2Fg%2F11gbfnwg7c!19sChIJi2JlCUL9vi0RtnmKiQ8tnLA?authuser=0&hl=en&rclk=1,Warkop 157,4.6,-227,Coffee shop
https://www.google.com/maps/place/wk+ANANDA+27/data=!4m7!3m6!1s0x2dbefdb81f598719:0x6832750fae75a048!8m2!3d-5.1065048!4d119.4389601!16s%2Fg%2F11r32fd2zk!19sChIJGYdZH7j9vi0RSKB1rg91Mmg?authuser=0&hl=en&rclk=1,wk ANANDA 27,5,-1,Coffee shop
https://www.google.com/maps/place/Kedai+Kopi+Dbazz/data=!4m7!3m6!1s0x2dbefd5cd145feab:0xb083275e522bdba1!8m2!3d-5.1262316!4d119.4290973!16s%2Fg%2F11b6df98rx!19sChIJq_5F0Vz9vi0RodsrUl4ng7A?authuser=0&hl=en&rclk=1,Kedai Kopi Dbazz,4.5,-251,Coffee shop
https://www.google.com/maps/place/Canbliss+coffee+rapokalling/data=!4m7!3m6!1s0x2dbefd653154137d:0x85a5973ca8d3089d!8m2!3d-5.1272315!4d119.4370897!16s%2Fg%2F11y_v5n500!19sChIJfRNUMWX9vi0RnQjTqDyXpYU?authuser=0&hl=en&rclk=1,Canbliss coffee rapokalling,5,-1,Coffee shop
https://www.google.com/maps/place/Sudut+Kopi+96/data=!4m7!3m6!1s0x2dbefd0b8d4e6259:0xad91c8ed92d25387!8m2!3d-5.1283719!4d119.4291427!16s%2Fg%2F11shqf2xn6!19sChIJWWJOjQv9vi0Rh1PSku3Ika0?authuser=0&hl=en&rclk=1,Sudut Kopi 96,5,-9,Coffee shop
https://www.google.com/maps/place/KEDAI+PANDAI+KOPI/data=!4m7!3m6!1s0x2dbefd7ba96caba7:0x2019864641cb231b!8m2!3d-5.1283764!4d119.4313387!16s%2Fg%2F11qp081xg0!19sChIJp6tsqXv9vi0RGyPLQUaGGSA?authuser=0&hl=en&rclk=1,KEDAI PANDAI KOPI,5,-9,Coffee shop
https://www.google.com/maps/place/Kopi+Konoha+Ujung+Pandang+Baru/data=!4m7!3m6!1s0x2dbefd1a3bea00d5:0x5e76c2f6671aeada!8m2!3d-5.124976!4d119.4348909!16s%2Fg%2F11y02_ycg9!19sChIJ1QDqOxr9vi0R2uoaZ_bCdl4?authuser=0&hl=en&rclk=1,Kopi Konoha Ujung Pandang Baru,4.8,-6,Coffee shop
https://www.google.com/maps/place/Teras+Al-Qahwah/data=!4m7!3m6!1s0x2dbefdcf90b65037:0xa89d86c06729dec6!8m2!3d-5.1204626!4d119.4304006!16s%2Fg%2F11jmqqdk_b!19sChIJN1C2kM_9vi0Rxt4pZ8CGnag?authuser=0&hl=en&rclk=1,Teras Al-Qahwah,5,-44,Coffee shop
https://www.google.com/maps/place/APPA+TUJU+KOPI/data=!4m7!3m6!1s0x2dbefd3899a5bdaf:0x22d0898425d61018!8m2!3d-5.1187861!4d119.4279189!16s%2Fg%2F11yz7tf21l!19sChIJr72lmTj9vi0RGBDWJYSJ0CI?authuser=0&hl=en&rclk=1,APPA TUJU KOPI,,,Coffee shop
https://www.google.com/maps/place/Korban+Kopi+Mks/data=!4m7!3m6!1s0x2dbefd843827faed:0x736342e8c2a07292!8m2!3d-5.1250202!4d119.4353208!16s%2Fg%2F11f9w6bsm2!19sChIJ7fonOIT9vi0RknKgwuhCY3M?authuser=0&hl=en&rclk=1,Korban Kopi Mks,5,-11,Coffee shop
https://www.google.com/maps/place/Warkop+Trapung/data=!4m7!3m6!1s0x2dbefd731150e185:0xc693f42b34998812!8m2!3d-5.1093181!4d119.4413311!16s%2Fg%2F11p0lz56ll!19sChIJheFQEXP9vi0REoiZNCv0k8Y?authuser=0&hl=en&rclk=1,Warkop Trapung,4.8,-16,Coffee shop
