link,name,rating,num_reviewers,type
https://www.google.com/maps/place/Kopi+Lain+Hati+BTP+Tamalanrea/data=!4m7!3m6!1s0x2dbefdc60b04cf77:0x8f74a58b78af42ff!8m2!3d-5.1321071!4d119.4987757!16s%2Fg%2F11j5sj7ldz!19sChIJd88EC8b9vi0R_0KveIuldI8?authuser=0&hl=en&rclk=1,Kopi Lain Hati BTP Tamalanrea,4.6,-108,Coffee shop
https://www.google.com/maps/place/KOPITHA/data=!4m7!3m6!1s0x2dbefd5aa0053dc7:0xfcc238d9a03e8345!8m2!3d-5.1332302!4d119.5035414!16s%2Fg%2F11vd88hxwd!19sChIJxz0FoFr9vi0RRYM-oNk4wvw?authuser=0&hl=en&rclk=1,KOPITHA,4.9,-85,Coffee shop
https://www.google.com/maps/place/Kopi+Konnichiwa+-+BTP/data=!4m7!3m6!1s0x2dbefd09cd41f9fd:0xd6d6287c47294e7b!8m2!3d-5.1375558!4d119.50879!16s%2Fg%2F11sc_gtvf1!19sChIJ_flBzQn9vi0Re04pR3wo1tY?authuser=0&hl=en&rclk=1,Kopi Konnichiwa - BTP,4.6,-161,Coffee shop
https://www.google.com/maps/place/Kopitan+Plus/data=!4m7!3m6!1s0x2dbefd983df53663:0xbd7edbd852b6ac96!8m2!3d-5.1278137!4d119.5014079!16s%2Fg%2F11r_mhm0l2!19sChIJYzb1PZj9vi0Rlqy2Utjbfr0?authuser=0&hl=en&rclk=1,Kopitan Plus,4.6,-344,Coffee shop
https://www.google.com/maps/place/DAWAI+COFFEE/data=!4m7!3m6!1s0x2dbee32f1ba2de89:0x9258f7b81ddfd338!8m2!3d-5.1407531!4d119.4838797!16s%2Fg%2F11vzflvqh6!19sChIJid6iGy_jvi0RONPfHbj3WJI?authuser=0&hl=en&rclk=1,DAWAI COFFEE,4.7,-739,Coffee shop
https://www.google.com/maps/place/Kopi+HUB/data=!4m7!3m6!1s0x2dbefd19d58e1929:0xf81942ac07c6a908!8m2!3d-5.1283227!4d119.5003309!16s%2Fg%2F11gf9n_xh9!19sChIJKRmO1Rn9vi0RCKnGB6xCGfg?authuser=0&hl=en&rclk=1,Kopi HUB,4.3,"-1,759",Coffee shop
https://www.google.com/maps/place/Kopi+Wadjar/data=!4m7!3m6!1s0x2dbee3ce272682f1:0xb5c648cbe6607c7c!8m2!3d-5.1319308!4d119.4795658!16s%2Fg%2F11tg43kbv7!19sChIJ8YImJ87jvi0RfHxg5stIxrU?authuser=0&hl=en&rclk=1,Kopi Wadjar,4.7,-56,Coffee shop
https://www.google.com/maps/place/Banua+Coffee/data=!4m7!3m6!1s0x2dbefd3133455b9d:0xc4253006438f200d!8m2!3d-5.1207812!4d119.5024092!16s%2Fg%2F11ngkbtyg9!19sChIJnVtFMzH9vi0RDSCPQwYwJcQ?authuser=0&hl=en&rclk=1,Banua Coffee,4.8,-140,Coffee shop
https://www.google.com/maps/place/Rumah+Kopi+Setia+Perintis+Makassar/data=!4m7!3m6!1s0x2dbefdd9109cab53:0x1f62aff1222097f8!8m2!3d-5.1302703!4d119.4987778!16s%2Fg%2F11l2xxm8jr!19sChIJU6ucENn9vi0R-JcgIvGvYh8?authuser=0&hl=en&rclk=1,Rumah Kopi Setia Perintis Makassar,4.5,-226,Cafe
https://www.google.com/maps/place/Kopi+Dari+Hati+BTP/data=!4m7!3m6!1s0x2dbee3aa77a5e9a7:0x9a2625c7407fda12!8m2!3d-5.1320766!4d119.4997672!16s%2Fg%2F11ksdvxk86!19sChIJp-mld6rjvi0REtp_QMclJpo?authuser=0&hl=en&rclk=1,Kopi Dari Hati BTP,4.7,-121,Cafe
