link,name,rating,num_reviewers,type
https://www.google.com/maps/place/EsKopi+Daeng+Tata+Raya/data=!4m7!3m6!1s0x2dbf1d42ab35342b:0xc2e4f01e1c970436!8m2!3d-5.1814812!4d119.4181503!16s%2Fg%2F11vcx4ws_h!19sChIJKzQ1q0Idvy0RNgSXHB7w5MI?authuser=0&hl=en&rclk=1,EsKopi Daeng Tata Raya,4.9,-105,Coffee shop
https://www.google.com/maps/place/Mooka+Kopi+Tamalate/data=!4m7!3m6!1s0x2dbee3452cbc20bf:0x6ccb77ec134f4187!8m2!3d-5.1717501!4d119.4454484!16s%2Fg%2F11yywj2h1w!19sChIJvyC8LEXjvi0Rh0FPE-x3y2w?authuser=0&hl=en&rclk=1,Mooka Kopi Tamalate,4,-1,Espresso bar
https://www.google.com/maps/place/Kopi+Padu+Rasa+-+Tamalate/data=!4m7!3m6!1s0x2dbee333ddd9063f:0x2cc00e994dff7bc1!8m2!3d-5.172813!4d119.445438!16s%2Fg%2F11zkc5qkc_!19sChIJPwbZ3TPjvi0RwXv_TZkOwCw?authuser=0&hl=en&rclk=1,Kopi Padu Rasa - Tamalate,4.8,-6,Coffee shop
https://www.google.com/maps/place/ADAPADA+KEDAI/data=!4m7!3m6!1s0x2dbf1d6001430111:0xfbe694c3e93a23b2!8m2!3d-5.1701328!4d119.4237701!16s%2Fg%2F11c42gsf8b!19sChIJEQFDAWAdvy0RsiM66cOU5vs?authuser=0&hl=en&rclk=1,ADAPADA KEDAI,4.6,-510,Coffee shop
https://www.google.com/maps/place/Kampoeng+Kopi/data=!4m7!3m6!1s0x2dbf1d7b4e192b41:0x7015fc8d238bf8da!8m2!3d-5.1804224!4d119.4164619!16s%2Fg%2F11qh7gfrww!19sChIJQSsZTnsdvy0R2viLI438FXA?authuser=0&hl=en&rclk=1,Kampoeng Kopi,4.9,-29,Coffee shop
https://www.google.com/maps/place/Mooka+Kopi+Mannuruki/data=!4m7!3m6!1s0x2dbee3237ab88065:0xc9fdb0d0ad232313!8m2!3d-5.176009!4d119.429291!16s%2Fg%2F11mkjgfdsj!19sChIJZYC4eiPjvi0REyMjrdCw_ck?authuser=0&hl=en&rclk=1,Mooka Kopi Mannuruki,4.9,-8,Coffee shop
https://www.google.com/maps/place/MOOVS+from+Tastea+-+Tamalate/data=!4m7!3m6!1s0x2dbee335252096ad:0x824417e862eea309!8m2!3d-5.1684774!4d119.4468312!16s%2Fg%2F11tfmzdq96!19sChIJrZYgJTXjvi0RCaPuYugXRII?authuser=0&hl=en&rclk=1,MOOVS from Tastea - Tamalate,4.6,-67,Coffee shop
https://www.google.com/maps/place/Komar.+%E2%80%93+Tamalate/data=!4m7!3m6!1s0x2dbee3004a56c3d5:0x7c324d2d5608cd00!8m2!3d-5.1704168!4d119.4461168!16s%2Fg%2F11ydcd4_74!19sChIJ1cNWSgDjvi0RAM0IVi1NMnw?authuser=0&hl=en&rclk=1,Komar. – Tamalate,3.7,-39,Coffee shop
https://www.google.com/maps/place/WARKOP+TIME+Coffee+Shop+and+Food/data=!4m7!3m6!1s0x2dbee332e36972f1:0x3afcc7e04e670175!8m2!3d-5.1872171!4d119.4285851!16s%2Fg%2F11r0wmc578!19sChIJ8XJp4zLjvi0RdQFnTuDH_Do?authuser=0&hl=en&rclk=1,WARKOP TIME Coffee Shop and Food,4.9,-50,Coffee shop
https://www.google.com/maps/place/Daun+Coffee/data=!4m7!3m6!1s0x2dbee27ec9d232ef:0xc7aa1204a6b8d66c!8m2!3d-5.1834168!4d119.4222032!16s%2Fg%2F11b77gg78m!19sChIJ7zLSyX7ivi0RbNa4pgQSqsc?authuser=0&hl=en&rclk=1,Daun Coffee,4.4,"-1,628",Coffee shop
https://www.google.com/maps/place/Mocoffe/data=!4m7!3m6!1s0x2dbee3d269713b51:0xdfe5f4eb7f2f178c!8m2!3d-5.1875708!4d119.4323289!16s%2Fg%2F11zjypssht!19sChIJUTtxadLjvi0RjBcvf-v05d8?authuser=0&hl=en&rclk=1,Mocoffe,4.5,-17,Coffee shop
https://www.google.com/maps/place/Coffee+PapsQ+Mallengkeri/data=!4m7!3m6!1s0x2dbee2656e25a651:0xb758626a686e6ef3!8m2!3d-5.1870748!4d119.4316902!16s%2Fg%2F11c2r5q9fg!19sChIJUaYlbmXivi0R825uaGpiWLc?authuser=0&hl=en&rclk=1,Coffee PapsQ Mallengkeri,4.6,-249,Coffee shop
https://www.google.com/maps/place/Etika+Studio/data=!4m7!3m6!1s0x2dbee2f416ad505b:0x2f44792afda2f287!8m2!3d-5.1740486!4d119.4462379!16s%2Fg%2F11ggt5lcvl!19sChIJW1CtFvTivi0Rh_Ki_Sp5RC8?authuser=0&hl=en&rclk=1,Etika Studio,4.5,-477,Coffee shop
https://www.google.com/maps/place/Kopi+Noka+Tamalate/data=!4m7!3m6!1s0x2dbee3005d7a4b3f:0xb9af54ad79244d68!8m2!3d-5.1687517!4d119.4464668!16s%2Fg%2F11ysht7ltk!19sChIJP0t6XQDjvi0RaE0kea1Ur7k?authuser=0&hl=en&rclk=1,Kopi Noka Tamalate,2.3,-13,Coffee shop
"https://www.google.com/maps/place/Moko+Roti+%26+Kopi,+Tamalate/data=!4m7!3m6!1s0x2dbee3d0e8227097:0xfd5639cc3ee5e5aa!8m2!3d-5.1729199!4d119.45055!16s%2Fg%2F11pyzv6ryh!19sChIJl3Ai6NDjvi0RquXlPsw5Vv0?authuser=0&hl=en&rclk=1","Moko Roti & Kopi, Tamalate",4.8,-5,Coffee shop
https://www.google.com/maps/place/Brew+Brothers+Coffee+HQ/data=!4m7!3m6!1s0x2dbf1d97f2f00a0b:0xd9504cd0e027c766!8m2!3d-5.173088!4d119.4174824!16s%2Fg%2F11c0xx86hn!19sChIJCwrw8pcdvy0RZscn4NBMUNk?authuser=0&hl=en&rclk=1,Brew Brothers Coffee HQ,4.7,-175,Coffee shop
https://www.google.com/maps/place/Tenant+KOPI+MERDEKA/data=!4m7!3m6!1s0x2dbee390527c075b:0x7b0edab1e785e03e!8m2!3d-5.1868331!4d119.4260442!16s%2Fg%2F11p5_w6r5z!19sChIJWwd8UpDjvi0RPuCF57HaDns?authuser=0&hl=en&rclk=1,Tenant KOPI MERDEKA,4.9,-19,Coffee shop
https://www.google.com/maps/place/Kedai+Mods+Coffee+Corner/data=!4m7!3m6!1s0x2dbee27bd8b42257:0xdc520f6403b8c65d!8m2!3d-5.18518!4d119.4238521!16s%2Fg%2F11fzf69cmy!19sChIJVyK02Hvivi0RXca4A2QPUtw?authuser=0&hl=en&rclk=1,Kedai Mods Coffee Corner,4.6,-225,Coffee shop
https://www.google.com/maps/place/BACO+Banana+Coffee+House/data=!4m7!3m6!1s0x2dbee33ada6572f7:0xcb603c454e3157e2!8m2!3d-5.1863628!4d119.4315892!16s%2Fg%2F11rk2slyxr!19sChIJ93Jl2jrjvi0R4lcxTkU8YMs?authuser=0&hl=en&rclk=1,BACO Banana Coffee House,5,-96,Coffee shop
