link,name,rating,num_reviewers,type
https://www.google.com/maps/place/Toko+Kopi+Ujung/data=!4m7!3m6!1s0x2dbf02b1d06b879d:0x3456b520bd39d0a2!8m2!3d-5.1373193!4d119.4059802!16s%2Fg%2F1hm4vlkv2!19sChIJnYdr0LECvy0RotA5vSC1VjQ?authuser=0&hl=en&rclk=1,Toko Kopi Ujung,4.5,-524,Coffee shop
https://www.google.com/maps/place/Kopi+Ujung+Jalan/data=!4m7!3m6!1s0x2dbee306082085fb:0x6ae677158bb9feab!8m2!3d-5.1649877!4d119.4200346!16s%2Fg%2F11kb1y8h_f!19sChIJ-4UgCAbjvi0Rq_65ixV35mo?authuser=0&hl=en&rclk=1,Kopi Ujung Jalan,5,-28,Coffee shop
https://www.google.com/maps/place/Kopi+Ujung+Topaz/data=!4m7!3m6!1s0x2dbee3315e32cd9f:0x7d3ec0d473ae0204!8m2!3d-5.1549794!4d119.4394133!16s%2Fg%2F11tnw9mmd3!19sChIJn80yXjHjvi0RBAKuc9TAPn0?authuser=0&hl=en&rclk=1,Kopi Ujung Topaz,4.7,-33,Coffee shop
https://www.google.com/maps/place/NALA+Heritage/data=!4m7!3m6!1s0x2dbee3006332bcd9:0x26c4a6b89a931f77!8m2!3d-5.1470789!4d119.4208804!16s%2Fg%2F11ldswjqh4!19sChIJ2bwyYwDjvi0Rdx-TmrimxCY?authuser=0&hl=en&rclk=1,NALA Heritage,4.3,-187,Coffee shop
https://www.google.com/maps/place/WarkopNa+MP/data=!4m7!3m6!1s0x2dbf0368300feffd:0xdf661dc20ce79bd9!8m2!3d-5.1188487!4d119.4103795!16s%2Fg%2F11w8pfwxjq!19sChIJ_e8PMGgDvy0R2ZvnDMIdZt8?authuser=0&hl=en&rclk=1,WarkopNa MP,5,-24,Coffee shop
https://www.google.com/maps/place/KOZI+Coffee+Makassar/data=!4m7!3m6!1s0x2dbf1ded7f604ac3:0xc5e0410c98f3440b!8m2!3d-5.1557488!4d119.4150235!16s%2Fg%2F11fs31vzfp!19sChIJw0pgf-0dvy0RC0TzmAxB4MU?authuser=0&hl=en&rclk=1,KOZI Coffee Makassar,4.6,-385,Coffee shop
https://www.google.com/maps/place/Tanamera+Coffee+-+Makassar/data=!4m7!3m6!1s0x2dbf1d457ad1f03d:0x141478b4572af91!8m2!3d-5.1520249!4d119.4041056!16s%2Fg%2F11dftpk1zx!19sChIJPfDRekUdvy0Rka9yRYtHQQE?authuser=0&hl=en&rclk=1,Tanamera Coffee - Makassar,4.6,-954,Coffee shop
https://www.google.com/maps/place/Kopi+Hokage/data=!4m7!3m6!1s0x2dbefd0010069b1b:0x8a2c08cd05132602!8m2!3d-5.1138981!4d119.423107!16s%2Fg%2F11mdts5rrs!19sChIJG5sGEAD9vi0RAiYTBc0ILIo?authuser=0&hl=en&rclk=1,Kopi Hokage,5,-12,Coffee shop
https://www.google.com/maps/place/Kopi+Joni+%28Kedai+KopJon%29+-+Tanjung+Bunga/data=!4m7!3m6!1s0x2dbf1dec7247fa03:0xd4d317b0d7c25b94!8m2!3d-5.1733072!4d119.3917671!16s%2Fg%2F11s8_dk5cz!19sChIJA_pHcuwdvy0RlFvC17AX09Q?authuser=0&hl=en&rclk=1,Kopi Joni (Kedai KopJon) - Tanjung Bunga,4.8,-38,Coffee shop
https://www.google.com/maps/place/Kopi+Noka/data=!4m7!3m6!1s0x2dbefd00708b8da3:0xe8da646163fc8d8c!8m2!3d-5.117212!4d119.421492!16s%2Fg%2F11yw5m21yw!19sChIJo42LcAD9vi0RjI38Y2Fk2ug?authuser=0&hl=en&rclk=1,Kopi Noka,4.5,-2,Coffee shop
