link,name,rating,num_reviewers,type
https://www.google.com/maps/place/Garden+Coffee/data=!4m7!3m6!1s0x2d95e7fc46d750c1:0xc36a3205f9431c69!8m2!3d-4.1455511!4d120.0322841!16s%2Fg%2F11gxnzqc4j!19sChIJwVDXRvznlS0RaRxD-QUyasM?authuser=0&hl=en&rclk=1,Garden Coffee,4.7,-123,Coffee shop
https://www.google.com/maps/place/Toko+Kopi+Wijaya+Kusuma/data=!4m7!3m6!1s0x2d95e7004b32fb43:0xd45e7a76a2247237!8m2!3d-4.1400213!4d120.0332039!16s%2Fg%2F11xds4wbx6!19sChIJQ_sySwDnlS0RN3IkonZ6XtQ?authuser=0&hl=en&rclk=1,Toko Kopi Wijaya Kusuma,5,-19,Coffee shop
"https://www.google.com/maps/place/Rumah+Makan+%26+Seduh+Kopi+Espresso+,%22+YANI+%22,/data=!4m7!3m6!1s0x2d967d63786dacbf:0xae9fb04cde07842f!8m2!3d-3.8709478!4d120.2796681!16s%2Fg%2F11md0twnp7!19sChIJv6xteGN9li0RL4QH3kywn64?authuser=0&hl=en&rclk=1","Rumah Makan & Seduh Kopi Espresso ,"" YANI "",",4.9,-55,Diner
https://www.google.com/maps/place/Kopte+Tarik+Sengkang+Wajo+%28Kopi+%26+Teh%29/data=!4m7!3m6!1s0x2d95e700261dae2b:0xf9ecd107ef3964e6!8m2!3d-4.1326231!4d120.0295632!16s%2Fg%2F11w4hs2qf4!19sChIJK64dJgDnlS0R5mQ57wfR7Pk?authuser=0&hl=en&rclk=1,Kopte Tarik Sengkang Wajo (Kopi & Teh),4.9,-21,Coffee shop
https://www.google.com/maps/place/Mokopi+coffee/data=!4m7!3m6!1s0x2d95e7ce59737879:0x5d3f4e0f48b49f8d!8m2!3d-4.1332621!4d120.0289415!16s%2Fg%2F11fhvkr284!19sChIJeXhzWc7nlS0RjZ-0SA9OP10?authuser=0&hl=en&rclk=1,Mokopi coffee,4.4,-85,Espresso bar
https://www.google.com/maps/place/Toko+Kopi+Seiju/data=!4m7!3m6!1s0x2d95e7002563ce5d:0x23b8f9fa3db4189b!8m2!3d-4.1421296!4d120.0311189!16s%2Fg%2F11wxpfwj3w!19sChIJXc5jJQDnlS0Rmxi0Pfr5uCM?authuser=0&hl=en&rclk=1,Toko Kopi Seiju,5,-7,Coffee shop
https://www.google.com/maps/place/Om+Bro+Coffee/data=!4m7!3m6!1s0x2d95e6eb9b5038e3:0xbbb413888eb4e0de!8m2!3d-4.1464212!4d120.0383862!16s%2Fg%2F11c46gb0vp!19sChIJ4zhQm-vmlS0R3uC0jogTtLs?authuser=0&hl=en&rclk=1,Om Bro Coffee,4.6,-20,Coffee shop
https://www.google.com/maps/place/Warkop+Lotus+Tujuhbelas/data=!4m7!3m6!1s0x2d95e7ffce0d4a83:0xd49a4cefdfab854!8m2!3d-4.1426432!4d120.0421625!16s%2Fg%2F11t5270sst!19sChIJg0oNzv_nlS0RVLj6_c6kSQ0?authuser=0&hl=en&rclk=1,Warkop Lotus Tujuhbelas,4.5,-52,Coffee shop
https://www.google.com/maps/place/Rumah+Kopi+Setia/data=!4m7!3m6!1s0x2dbf02a197360ef1:0x2d1688ef40474288!8m2!3d-5.1259252!4d119.4132633!16s%2Fg%2F1hm1qystj!19sChIJ8Q42l6ECvy0RiEJHQO-IFi0?authuser=0&hl=en&rclk=1,Rumah Kopi Setia,4.7,-522,Coffee shop
https://www.google.com/maps/place/Kedai+Kopi+Rumah+Tua/data=!4m7!3m6!1s0x2d95e6efd4e34fd5:0x4068af0a0286477f!8m2!3d-4.142179!4d120.0318766!16s%2Fg%2F12hm75mcy!19sChIJ1U_j1O_mlS0Rf0eGAgqvaEA?authuser=0&hl=en&rclk=1,Kedai Kopi Rumah Tua,4.2,"-1,212",Coffee shop
https://www.google.com/maps/place/U.COFFEE.GARAGE/data=!4m7!3m6!1s0x2d95e7883e7f1a1b:0x371938b7b8f527c0!8m2!3d-4.1246067!4d120.0255702!16s%2Fg%2F11ry1r6y_1!19sChIJGxp_PojnlS0RwCf1uLc4GTc?authuser=0&hl=en&rclk=1,U.COFFEE.GARAGE,5,-28,Cafe
https://www.google.com/maps/place/Coffee+Shops+Phoenam/data=!4m7!3m6!1s0x2dbf02a5240c6fc3:0x630ca746cbcd73ff!8m2!3d-5.1317924!4d119.4074423!16s%2Fg%2F1hm1tvklg!19sChIJw28MJKUCvy0R_3PNy0anDGM?authuser=0&hl=en&rclk=1,Coffee Shops Phoenam,4.6,-663,Coffee shop
https://www.google.com/maps/place/Warung+simpang+palopo/data=!4m7!3m6!1s0x2d967bd202752025:0x546340ca43cf4933!8m2!3d-3.9346925!4d120.2711615!16s%2Fg%2F11q4m95lmv!19sChIJJSB1AtJ7li0RM0nPQ8pAY1Q?authuser=0&hl=en&rclk=1,Warung simpang palopo,4.7,-22,Coffee shop
https://www.google.com/maps/place/Home+Coffee+Shop+siwa/data=!4m7!3m6!1s0x2d968e931ab73491:0xbe211feff39593ae!8m2!3d-3.69623!4d120.4161527!16s%2Fg%2F11c57cbd9p!19sChIJkTS3GpOOli0RrpOV8-8fIb4?authuser=0&hl=en&rclk=1,Home Coffee Shop siwa,4.2,-153,Coffee shop
https://www.google.com/maps/place/Reborn+Coffee/data=!4m7!3m6!1s0x2d968f1186acd48f:0x62b41b057a2683cb!8m2!3d-3.701416!4d120.416333!16s%2Fg%2F11sfjw8nlq!19sChIJj9SshhGPli0Ry4MmegUbtGI?authuser=0&hl=en&rclk=1,Reborn Coffee,4.6,-7,Coffee shop
https://www.google.com/maps/place/Kopi+kenanga/data=!4m7!3m6!1s0x2d95e7674550b3cd:0xc912bce61d5119ca!8m2!3d-4.1281594!4d120.0312452!16s%2Fg%2F11v9w_bbzy!19sChIJzbNQRWfnlS0RyhlRHea8Esk?authuser=0&hl=en&rclk=1,Kopi kenanga,5,-5,Coffee shop
https://www.google.com/maps/place/KOPI+TURATEA/data=!4m7!3m6!1s0x2d968fbc9dd8ec99:0xb78a645de9a3e16f!8m2!3d-3.6998029!4d120.4169714!16s%2Fg%2F11jg_qxnkc!19sChIJmezYnbyPli0Rb-Gj6V1kirc?authuser=0&hl=en&rclk=1,KOPI TURATEA,4.7,-9,Cafe
https://www.google.com/maps/place/Kedai+topanri/data=!4m7!3m6!1s0x2d95e75693c06a1b:0x96240708d42f8a78!8m2!3d-4.1309072!4d120.0287412!16s%2Fg%2F11rw_fc7qk!19sChIJG2rAk1bnlS0ReIov1AgHJJY?authuser=0&hl=en&rclk=1,Kedai topanri,5,-1,Coffee shop
https://www.google.com/maps/place/Kopi+Ko%27ui/data=!4m7!3m6!1s0x2d915fba06b31b37:0x81dd43e082c8bc8a!8m2!3d-2.9908903!4d120.1860577!16s%2Fg%2F11rk2230hn!19sChIJNxuzBrpfkS0RirzIguBD3YE?authuser=0&hl=en&rclk=1,Kopi Ko'ui,4.8,-388,Coffee shop
https://www.google.com/maps/place/Kopi+Kenangan+-+Ruko+A.+Yani+Makassar/data=!4m7!3m6!1s0x2dbf038ac556cb73:0xf9765b72cd37ee41!8m2!3d-5.1327484!4d119.4104393!16s%2Fg%2F11rbd4r1r8!19sChIJc8tWxYoDvy0RQe43zXJbdvk?authuser=0&hl=en&rclk=1,Kopi Kenangan - Ruko A. Yani Makassar,4.6,-384,Coffee shop
https://www.google.com/maps/place/Cafe+Wajo/data=!4m7!3m6!1s0x2d9a4f15ad998b7b:0x33490bed63f60b0c!8m2!3d-2.8236617!4d122.184446!16s%2Fg%2F11scnqk2sy!19sChIJe4uZrRVPmi0RDAv2Y-0LSTM?authuser=0&hl=en&rclk=1,Cafe Wajo,4.3,-29,Coffee shop
https://www.google.com/maps/place/Figura+Kopi/data=!4m7!3m6!1s0x2d915f8ad8db2793:0xa053b933af501a4d!8m2!3d-3.0070528!4d120.1971094!16s%2Fg%2F11r0y3_smw!19sChIJkyfb2IpfkS0RTRpQrzO5U6A?authuser=0&hl=en&rclk=1,Figura Kopi,4.9,-32,Coffee shop
https://www.google.com/maps/place/Kopi+Koma+Palopo/data=!4m7!3m6!1s0x2d915f4dfff511d7:0x1384b9800893b8c9!8m2!3d-3.0093361!4d120.207358!16s%2Fg%2F11fv4sf527!19sChIJ1xH1_01fkS0RybiTCIC5hBM?authuser=0&hl=en&rclk=1,Kopi Koma Palopo,5,-41,Coffee shop
https://www.google.com/maps/place/Empat+Satu+Cafe/data=!4m7!3m6!1s0x2d968f002a2436b5:0x761c3bbde171d05a!8m2!3d-3.7005943!4d120.4179222!16s%2Fg%2F11w4g08xxc!19sChIJtTYkKgCPli0RWtBx4b07HHY?authuser=0&hl=en&rclk=1,Empat Satu Cafe,5,-3,Coffee shop
https://www.google.com/maps/place/Warkop+LaKopi/data=!4m7!3m6!1s0x2dbf02a4790b134f:0x4f4a87893dfae52a!8m2!3d-5.1293327!4d119.4096989!16s%2Fg%2F11c0xpc9rj!19sChIJTxMLeaQCvy0RKuX6PYmHSk8?authuser=0&hl=en&rclk=1,Warkop LaKopi,4.5,-935,Coffee shop
https://www.google.com/maps/place/Teras+Kopi/data=!4m7!3m6!1s0x2dbf02a5d632cd6b:0x8bf2831fe1c499a7!8m2!3d-5.1317189!4d119.4121458!16s%2Fg%2F11b806qfjq!19sChIJa80y1qUCvy0Rp5nE4R-D8os?authuser=0&hl=en&rclk=1,Teras Kopi,4.6,-60,Coffee shop
https://www.google.com/maps/place/Qahwa+coffe+roastery%2Fwarkop+opuraja/data=!4m7!3m6!1s0x2dbee33ec7c30269:0x374ccc5871e0c980!8m2!3d-5.1735294!4d119.4086706!16s%2Fg%2F11py5ssv6s!19sChIJaQLDxz7jvi0RgMngcVjMTDc?authuser=0&hl=en&rclk=1,Qahwa coffe roastery/warkop opuraja,4.9,-12,Manufacturer
https://www.google.com/maps/place/Kopi+Djuragan/data=!4m7!3m6!1s0x2d95e7afe44d5e89:0x671ded7f63f2fd5b!8m2!3d-4.1367352!4d120.0301096!16s%2Fg%2F11gy6d3lt0!19sChIJiV5N5K_nlS0RW_3yY3_tHWc?authuser=0&hl=en&rclk=1,Kopi Djuragan,4.5,-8,Coffee shop
https://www.google.com/maps/place/Yaz+ice+cooffee.tempat+ngopinya+para+petualang/data=!4m7!3m6!1s0x2dbf03c948ca6d17:0x635ee0a36e3c5f56!8m2!3d-5.1229758!4d119.4151208!16s%2Fg%2F11kb595634!19sChIJF23KSMkDvy0RVl88bqPgXmM?authuser=0&hl=en&rclk=1,Yaz ice cooffee.tempat ngopinya para petualang,4.8,-21,Coffee shop
https://www.google.com/maps/place/Kopi+Teras/data=!4m7!3m6!1s0x2d95e71d5bf2b0e3:0xdbf8ea69445a2efb!8m2!3d-4.1323882!4d120.0334356!16s%2Fg%2F11xvgg99lk!19sChIJ47DyWx3nlS0R-y5aRGnq-Ns?authuser=0&hl=en&rclk=1,Kopi Teras,5,-1,Cafe
