,name,rating,num_reviewers,type,lat,long
0,Kopi Teori New Chapter,4.7,452,Coffee shop,-5.1552828,119.4401047
1,Kopikost - Coffee & Roastery,4.6,128,Coffee shop,-5.1444941,119.452607
2,Melos Coffee & Eatery,4.3,311,Coffee shop,-5.1354544,119.434586
3,Institut KOPI,4.7,183,Coffee shop,-5.1543094,119.4391305
4,Postropis Coffee & Space,4.8,81,Coffee shop,-5.1329919,119.4332702
5,Kopi Soe Panakkukang,4.6,271,Cafe,-5.1556002,119.4441017
6,Myko Cafe-Panakkukang,4.8,288,Cafe,-5.1570495,119.4469294
7,Konya Coffee & Eatery (Ex-Bonefa),4.7,68,Cafe,-5.1462954,119.4503679
8,Kopi Api Coffee Roasters,4.6,741,Coffee shop,-5.1616122,119.4497652
9,Pojok kopi topaz,4.9,344,Coffee shop,-5.1540228,119.4398174
10,Kaori Coffee,4.9,65,Coffee shop,-5.1594614,119.4442301
11,Kopiteori Boulevard,4.3,68,Coffee shop,-5.1553447,119.4401516
12,Squid Coffee,4.9,715,Coffee shop,-5.1545807,119.4410442
13,Kopiology,4.6,214,Cafe,-5.1557168,119.4440397
14,Kopi paste,4.7,86,Coffee shop,-5.1550661,119.4427948
15,Kaori Coffee - Adyaksa17,4.9,277,Coffee shop,-5.1610008,119.4457964
16,Titik Ngopi Cafe,4.7,71,Coffee shop,-5.1622897,119.4444597
17,PHOENAM,4.5,644,Coffee shop,-5.155147,119.4404195
18,Kaganga Coffee - Boungenville,4.7,330,Coffee shop,-5.1584012,119.4448269
19,"Fore Coffee - Mall Panakkukang, Makassar",3.8,148,Coffee shop,-5.1577506,119.446921
20,KopTu Authentic Makassar,4.9,64,Coffee shop,-5.1585308,119.4523941
21,Kopizone Prime,4.5,355,Coffee shop,-5.1551996,119.4406259
22,Ngopi Santai x Brogul,4.6,204,Coffee shop,-5.1573744,119.4388583
23,COFFEE PLACE,4.6,359,Coffee shop,-5.1607921,119.4442301
24,Nol Tiga Coffee,4.2,89,Coffee shop,-5.1607775,119.4549921
25,KOPITIAM MAKASSAR - HERTASNING,4.6,904,Cafe,-5.162352,119.4433301
26,Kopi 2 SKS,4.9,131,Coffee shop,-5.1611758,119.4404319
27,Kopi Beri Ruang,4.2,92,Cafe,-5.1583595,119.4524102
28,GAUL COFFEE PANAKKUKANG MAKASSAR,4.6,42,Cafe,-5.1545843,119.4397581
29,Kopi TEMULAGI,5.0,10,Coffee shop,-5.1612522,119.4499805
30,Malaku kopi,4.9,34,Coffee shop,-5.1546061,119.4396484
31,Stasiun Kopi,4.4,266,Coffee shop,-5.1587475,119.454278
32,Nawa coffee,4.8,20,Coffee shop,-5.1580661,119.4448879
33,TEMU KOPI PANAKUKKANG,4.2,5,Coffee shop,-5.1584724,119.4520363
34,Panama House Coffee and Dining,4.3,136,Coffee shop,-5.1619054,119.4438483
