nama,rating,jumlah_reviewer,tipe,lat,long,alamat,kelurahan,kecamatan,kota
Kopi Teori New Chapter,4.7,452,Coffee shop,-5.1552828,119.4401047,"WARKOP SAMI, Jalan Boulevard, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Masale,Panakkukang,Makassar
Kopikost - Coffee & Roastery,4.6,128,Coffee shop,-5.1444941,119.452607,"Profesor Abdurrahman Basalamah, Karampuang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Karampuang,Panakkukang,Makassar
Melos Coffee & Eatery,4.3,311,Coffee shop,-5.1354544,119.434586,"Jalan Perkebunan, Sinrijala, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90152, Indonesia",Sinrijala,Panakkukang,Makassar
Institut KOPI,4.7,183,Coffee shop,-5.1543094,119.4391305,"Jalan Topaz Raya, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Masale,Panakkukang,Makassar
Postropis Coffee & Space,4.8,81,Coffee shop,-5.1329919,119.4332702,"Jalan Adipura Raya, Tamajeʼneʼ, Karuwisi Utara, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90152, Indonesia",Karuwisi Utara,Panakkukang,Makassar
Kopi Soe Panakkukang,4.6,271,Cafe,-5.1556002,119.4441017,"Jalan Boulevard Panakkukang Mas, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Masale,Panakkukang,Makassar
Myko Cafe-Panakkukang,4.8,288,Cafe,-5.1570495,119.4469294,"Mall Panakkukang, Jalan Boulevard, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Masale,Panakkukang,Makassar
Konya Coffee & Eatery (Ex-Bonefa),4.7,68,Cafe,-5.1462954,119.4503679,"Klinik Racing, Jalan Profesor Abdurrahman Basalamah, Karampuang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90245, Indonesia",Karampuang,Panakkukang,Makassar
Kopi Api Coffee Roasters,4.6,741,Coffee shop,-5.1616122,119.4497652,"Pasar Segar, Jalan Toddopuli III, Perumnas Toddppuli, Paʼnyikkokang, Pandang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Pandang,Panakkukang,Makassar
Pojok kopi topaz,4.9,344,Coffee shop,-5.1540228,119.4398174,"Panembahan Adiwisata Tour, Jalan Topaz Raya, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Masale,Panakkukang,Makassar
Kaori Coffee,4.9,65,Coffee shop,-5.1594614,119.4442301,"Jalan Bau Mangga, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Masale,Panakkukang,Makassar
Kopiteori Boulevard,4.3,68,Coffee shop,-5.1553447,119.4401516,"WARKOP SAMI, Jalan Boulevard, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Masale,Panakkukang,Makassar
Squid Coffee,4.9,715,Coffee shop,-5.1545807,119.4410442,"Jalan Topaz Raya, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Masale,Panakkukang,Makassar
Kopiology,4.6,214,Cafe,-5.1557168,119.4440397,"Jalan Boulevard Panakkukang Mas, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Masale,Panakkukang,Makassar
Kopi paste,4.7,86,Coffee shop,-5.1550661,119.4427948,"KEDAI MACCINA, Ance Daeng Ngoyo, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Masale,Panakkukang,Makassar
Kaori Coffee - Adyaksa17,4.9,277,Coffee shop,-5.1610008,119.4457964,"Warung Barokah 354, Jalan Adhyaksa, Pandang, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Pandang,Panakkukang,Makassar
Titik Ngopi Cafe,4.7,71,Coffee shop,-5.1622897,119.4444597,"Jalan Adhyaksa, Pandang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Pandang,Panakkukang,Makassar
PHOENAM,4.5,644,Coffee shop,-5.155147,119.4404195,"CHAMBERS SHOP, Jalan Boulevard, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Masale,Panakkukang,Makassar
Kaganga Coffee - Boungenville,4.7,330,Coffee shop,-5.1584012,119.4448269,"Jalan Bougenville, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Masale,Panakkukang,Makassar
"Fore Coffee - Mall Panakkukang, Makassar",3.8,148,Coffee shop,-5.1577506,119.446921,"Mushola Panakukang Mall, Jalan Boulevard, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Masale,Panakkukang,Makassar
KopTu Authentic Makassar,4.9,64,Coffee shop,-5.1585308,119.4523941,"Aza Guest House, Jalan Pandang Raya, Pandang, Paropo, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Pandang,Panakkukang,Makassar
Kopizone Prime,4.5,355,Coffee shop,-5.1551996,119.4406259,"CHAMBERS SHOP, Jalan Boulevard, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Masale,Panakkukang,Makassar
Ngopi Santai x Brogul,4.6,204,Coffee shop,-5.1573744,119.4388583,"Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",Masale,Panakkukang,Makassar
COFFEE PLACE,4.6,359,Coffee shop,-5.1607921,119.4442301,"Jalan Bau Mangga, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Masale,Panakkukang,Makassar
Nol Tiga Coffee,4.2,89,Coffee shop,-5.1607775,119.4549921,"Jalan Anggrek, Kompleks Maizonette, Paropo, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90233, Indonesia",Paropo,Panakkukang,Makassar
KOPITIAM MAKASSAR - HERTASNING,4.6,904,Cafe,-5.162352,119.4433301,"KANTOR POS HERTASNING, Jalan Letjen Hertasning, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",Masale,Panakkukang,Makassar
Kopi 2 SKS,4.9,131,Coffee shop,-5.1611758,119.4404319,"Jalan Stapak Pengayoman, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",Masale,Panakkukang,Makassar
Kopi Beri Ruang,4.2,92,Cafe,-5.1583595,119.4524102,"Jalan Pandang Raya, Pandang, Paropo, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Pandang,Panakkukang,Makassar
GAUL COFFEE PANAKKUKANG MAKASSAR,4.6,42,Cafe,-5.1545843,119.4397581,"Jalan Topaz Raya, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Masale,Panakkukang,Makassar
Kopi TEMULAGI,5.0,10,Coffee shop,-5.1612522,119.4499805,"Jalan Pengayoman, Kompleks Pertokoan Toddoppuli Panakkukang Mas, Pandang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Pandang,Panakkukang,Makassar
Malaku kopi,4.9,34,Coffee shop,-5.1546061,119.4396484,"Jalan Topaz Raya, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Masale,Panakkukang,Makassar
Stasiun Kopi,4.4,266,Coffee shop,-5.1587475,119.454278,"Jalan Meranti, Paropo, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Paropo,Panakkukang,Makassar
Nawa coffee,4.8,20,Coffee shop,-5.1580661,119.4448879,"Jalan Bougenville, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Masale,Panakkukang,Makassar
TEMU KOPI PANAKUKKANG,4.2,5,Coffee shop,-5.1584724,119.4520363,"Jalan Pandang Raya, Pandang, Paropo, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Pandang,Panakkukang,Makassar
Panama House Coffee and Dining,4.3,136,Coffee shop,-5.1619054,119.4438483,"Jalan Bau Mangga, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Masale,Panakkukang,Makassar
My Coffee (Vindhika Hotel),4.6,217,Coffee shop,-5.1590488,119.4440806,"Hotel Vindhika Kota Makassar, Jalan Bau Mangga, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Masale,Panakkukang,Makassar
kopitoa topaz,4.8,36,Coffee shop,-5.1546563,119.4389011,"PARADE GUEST HOUSE, Jalan Topaz Raya, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Masale,Panakkukang,Makassar
Cafe Rustic,4.5,127,Coffee shop,-5.1622092,119.4541098,"Kompleks Pertokoan Toddoppuli Panakkukang Mas, Paropo, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90233, Indonesia",Paropo,Panakkukang,Makassar
A Lot of Coffee,4.4,180,Coffee shop,-5.1394017,119.4488948,"Alfamidi Samping UMI, Jalan Urip Sumohardjo, Tubiriʼ, Panaikang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Panaikang,Panakkukang,Makassar
Kopi Silong,4.8,41,Coffee shop,-5.1543358,119.4393196,"Jalan Topaz Raya, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Masale,Panakkukang,Makassar
