link,name,rating,num_reviewers,type
https://www.google.com/maps/place/Segelas+Kopi/data=!4m7!3m6!1s0x2d915f4a2a9f6137:0x7999606033fce046!8m2!3d-3.0110404!4d120.2021426!16s%2Fg%2F11nxnq1tjz!19sChIJN2GfKkpfkS0RRuD8M2BgmXk?authuser=0&hl=en&rclk=1,Segelas Kopi,4.7,-210,Coffee stand
https://www.google.com/maps/place/NUIZ+COFFEE/data=!4m7!3m6!1s0x2d915f654d7ba56d:0x71baad44a66f975b!8m2!3d-3.016312!4d120.2078036!16s%2Fg%2F11vspg454v!19sChIJbaV7TWVfkS0RW5dvpkStunE?authuser=0&hl=en&rclk=1,NUIZ COFFEE,4.4,-750,Restaurant
https://www.google.com/maps/place/Kopi+Ko%27ui/data=!4m7!3m6!1s0x2d915fba06b31b37:0x81dd43e082c8bc8a!8m2!3d-2.9908903!4d120.1860577!16s%2Fg%2F11rk2230hn!19sChIJNxuzBrpfkS0RirzIguBD3YE?authuser=0&hl=en&rclk=1,Kopi Ko'ui,4.8,-388,Coffee shop
https://www.google.com/maps/place/moza/data=!4m7!3m6!1s0x2d9159aa303b0117:0xf1f6fa398acd9f4a!8m2!3d-3.0282753!4d120.2141726!16s%2Fg%2F11tg5yt9qp!19sChIJFwE7MKpZkS0RSp_Nijn69vE?authuser=0&hl=en&rclk=1,moza,4.4,-69,Cafe
https://www.google.com/maps/place/Nuanzza+Coffee+and+Cafe/data=!4m7!3m6!1s0x2d915fa681f9267b:0x4b003da6440ecbc!8m2!3d-3.0321978!4d120.2142884!16s%2Fg%2F11h1kkq5ll!19sChIJeyb5gaZfkS0RvOxAZNoDsAQ?authuser=0&hl=en&rclk=1,Nuanzza Coffee and Cafe,4.9,-11,Cafe
https://www.google.com/maps/place/nineroom+cafe/data=!4m7!3m6!1s0x2d915edfcdb454a1:0xc557e499583139d5!8m2!3d-3.009168!4d120.2076354!16s%2Fg%2F11gcjrw4dr!19sChIJoVS0zd9ekS0R1TkxWJnkV8U?authuser=0&hl=en&rclk=1,nineroom cafe,4.6,-127,Cafe
https://www.google.com/maps/place/New+Sisilain+Cafe/data=!4m7!3m6!1s0x2d915f000c7b9c0d:0x463d3542a090e8a1!8m2!3d-3.0104453!4d120.2043493!16s%2Fg%2F11mcw9tsxd!19sChIJDZx7DABfkS0RoeiQoEI1PUY?authuser=0&hl=en&rclk=1,New Sisilain Cafe,4.4,-60,Coffee shop
https://www.google.com/maps/place/The+Queen+Coffee/data=!4m7!3m6!1s0x2d915f00797b5f8b:0x1f9cd6a5cabb84f7!8m2!3d-3.0126587!4d120.2052201!16s%2Fg%2F11vy3ck6yt!19sChIJi197eQBfkS0R94S7yqXWnB8?authuser=0&hl=en&rclk=1,The Queen Coffee,4.3,-26,Coffee shop
https://www.google.com/maps/place/D%27+Twins+Cafe+%26+Garden/data=!4m7!3m6!1s0x2d915f94c84d5095:0x528fb8679449d08b!8m2!3d-2.9888464!4d120.1893764!16s%2Fg%2F11p0wr2y_c!19sChIJlVBNyJRfkS0Ri9BJlGe4j1I?authuser=0&hl=en&rclk=1,D' Twins Cafe & Garden,4.8,-116,Cafe
https://www.google.com/maps/place/Gubuak+kopi/data=!4m7!3m6!1s0x2d915edaffffffff:0x2d343eabf06711c2!8m2!3d-3.0148742!4d120.2137565!16s%2Fg%2F11fzz62pkz!19sChIJ_____9pekS0RwhFn8Ks-NC0?authuser=0&hl=en&rclk=1,Gubuak kopi,4,-1,Cafe
https://www.google.com/maps/place/D%C2%B0COOL+%7C+CAFE+%26+CAR+WASH/data=!4m7!3m6!1s0x2d915fbc1e11f583:0x3f2fdb06bf9acc50!8m2!3d-3.0161844!4d120.2133067!16s%2Fg%2F11p01pbyfy!19sChIJg_URHrxfkS0RUMyavwbbLz8?authuser=0&hl=en&rclk=1,D°COOL | CAFE & CAR WASH,4.1,-8,Art cafe
https://www.google.com/maps/place/Numeric+Coffee/data=!4m7!3m6!1s0x2d915fd12cbed933:0xd7917657103cb8a3!8m2!3d-3.0065992!4d120.1982555!16s%2Fg%2F11lgs7996y!19sChIJM9m-LNFfkS0Ro7g8EFd2kdc?authuser=0&hl=en&rclk=1,Numeric Coffee,4.7,-42,Coffee shop
https://www.google.com/maps/place/Zona+Temu/data=!4m7!3m6!1s0x2d915fe6a28af38b:0x86e707d80cb2a076!8m2!3d-2.9967138!4d120.1975074!16s%2Fg%2F11fqy2k2vt!19sChIJi_OKouZfkS0RdqCyDNgH54Y?authuser=0&hl=en&rclk=1,Zona Temu,4.6,-139,Coffee shop
https://www.google.com/maps/place/SR_kitchen29/data=!4m7!3m6!1s0x2d915fb271caf085:0x428f2d0fa5040ac0!8m2!3d-3.0190607!4d120.2139279!16s%2Fg%2F11g07zmlc2!19sChIJhfDKcbJfkS0RwAoEpQ8tj0I?authuser=0&hl=en&rclk=1,SR_kitchen29,4.5,-8,Cafe
https://www.google.com/maps/place/SOLATA+CAFE/data=!4m7!3m6!1s0x2d915f1f0b3bf365:0x199ac7989b19c232!8m2!3d-3.0122007!4d120.2027266!16s%2Fg%2F11cs5vxtp6!19sChIJZfM7Cx9fkS0RMsIZm5jHmhk?authuser=0&hl=en&rclk=1,SOLATA CAFE,4.4,-465,Cafe
https://www.google.com/maps/place/Eltris+Cafe/data=!4m7!3m6!1s0x2d915f000a758775:0xd5835e8fda1e356a!8m2!3d-3.0139722!4d120.1973592!16s%2Fg%2F11lf2892vk!19sChIJdYd1CgBfkS0RajUe2o9eg9U?authuser=0&hl=en&rclk=1,Eltris Cafe,4.8,-26,Coffee shop
https://www.google.com/maps/place/Yotta+Andi+Djemma+Palopo/data=!4m7!3m6!1s0x2d915f94c121fe33:0x3311ec0dbbf5a163!8m2!3d-3.0008639!4d120.1983651!16s%2Fg%2F11qyspgcgt!19sChIJM_4hwZRfkS0RY6H1uw3sETM?authuser=0&hl=en&rclk=1,Yotta Andi Djemma Palopo,4.6,-202,Cafe
https://www.google.com/maps/place/Piweekend/data=!4m7!3m6!1s0x2d915f795f4e1891:0x7fc4b0da6c38985e!8m2!3d-3.0107679!4d120.2007886!16s%2Fg%2F11vf8w5r5f!19sChIJkRhOX3lfkS0RXpg4bNqwxH8?authuser=0&hl=en&rclk=1,Piweekend,4.2,-63,Coffee shop
https://www.google.com/maps/place/GALUNG+BARBERSHOP+%26+COFFEE+SHOP/data=!4m7!3m6!1s0x2d915f547e6faf41:0x61a311386012eba1!8m2!3d-3.0141149!4d120.1833955!16s%2Fg%2F11fsk7v6lw!19sChIJQa9vflRfkS0RoesSYDgRo2E?authuser=0&hl=en&rclk=1,GALUNG BARBERSHOP & COFFEE SHOP,4.5,-126,Coffee shop
https://www.google.com/maps/place/Kopi+Koma+Palopo/data=!4m7!3m6!1s0x2d915f4dfff511d7:0x1384b9800893b8c9!8m2!3d-3.0093361!4d120.207358!16s%2Fg%2F11fv4sf527!19sChIJ1xH1_01fkS0RybiTCIC5hBM?authuser=0&hl=en&rclk=1,Kopi Koma Palopo,5,-41,Coffee shop
https://www.google.com/maps/place/Figura+Kopi/data=!4m7!3m6!1s0x2d915f8ad8db2793:0xa053b933af501a4d!8m2!3d-3.0070528!4d120.1971094!16s%2Fg%2F11r0y3_smw!19sChIJkyfb2IpfkS0RTRpQrzO5U6A?authuser=0&hl=en&rclk=1,Figura Kopi,4.9,-32,Coffee shop
https://www.google.com/maps/place/Kopi+Bisang/data=!4m7!3m6!1s0x2d915f20f47dfb7d:0x5e651333a3259e00!8m2!3d-3.0110034!4d120.203421!16s%2Fg%2F11c2prg_50!19sChIJfft99CBfkS0RAJ4lozMTZV4?authuser=0&hl=en&rclk=1,Kopi Bisang,4.4,-286,Coffee shop
https://www.google.com/maps/place/THE+ICON+CAFE/data=!4m7!3m6!1s0x2d915f2cb84f69a1:0xa9489fb13e5b3176!8m2!3d-3.0039659!4d120.1993803!16s%2Fg%2F11gn21nd4h!19sChIJoWlPuCxfkS0RdjFbPrGfSKk?authuser=0&hl=en&rclk=1,THE ICON CAFE,4.4,-715,Cafe
https://www.google.com/maps/place/Nunna+Kitchen/data=!4m7!3m6!1s0x2d915ff679f51363:0xc16ff7cda1f92a2e!8m2!3d-3.0074378!4d120.2112804!16s%2Fg%2F11gj71mwzc!19sChIJYxP1efZfkS0RLir5oc33b8E?authuser=0&hl=en&rclk=1,Nunna Kitchen,4.8,-67,Cafe
https://www.google.com/maps/place/Social+Barn+Coffee/data=!4m7!3m6!1s0x2d915f100e98b9d7:0xfe8deb09d8c7b3e6!8m2!3d-3.000664!4d120.193248!16s%2Fg%2F11f01tx8db!19sChIJ17mYDhBfkS0R5rPH2Anrjf4?authuser=0&hl=en&rclk=1,Social Barn Coffee,4.3,-717,Restaurant
https://www.google.com/maps/place/COZY+HOUSE/data=!4m7!3m6!1s0x2d915f002f4288d3:0x99b37504b0e3ac85!8m2!3d-3.0221255!4d120.2102043!16s%2Fg%2F11yw6gx413!19sChIJ04hCLwBfkS0RhazjsAR1s5k?authuser=0&hl=en&rclk=1,COZY HOUSE,5,-2,Coffee shop
https://www.google.com/maps/place/Toddopuli+Coffee/data=!4m7!3m6!1s0x2d915f71180dc48d:0xbaaf5bb4d713e945!8m2!3d-3.0151272!4d120.207209!16s%2Fg%2F11h5s2s9cr!19sChIJjcQNGHFfkS0RRekT17Rbr7o?authuser=0&hl=en&rclk=1,Toddopuli Coffee,4.3,-3,Cafe
https://www.google.com/maps/place/MOKI+-+cafe+%26+eatery/data=!4m7!3m6!1s0x2d915f004b09a475:0xe5bf4d78f1b184a1!8m2!3d-3.0034098!4d120.1949184!16s%2Fg%2F11yrpw1jj9!19sChIJdaQJSwBfkS0RoYSx8XhNv-U?authuser=0&hl=en&rclk=1,MOKI - cafe & eatery,5,-5,Coffee shop
https://www.google.com/maps/place/Delicate+Society+Palopo/data=!4m7!3m6!1s0x2d915f52684a47cb:0x1adf54d24ba1893a!8m2!3d-2.9921144!4d120.193659!16s%2Fg%2F11ptnjqj9x!19sChIJy0dKaFJfkS0ROomhS9JU3xo?authuser=0&hl=en&rclk=1,Delicate Society Palopo,4.5,-93,Coffee shop
https://www.google.com/maps/place/Daily+Coffee/data=!4m7!3m6!1s0x2d915feb264bc17b:0xf52a3cdb36593ef9!8m2!3d-3.0120567!4d120.2054222!16s%2Fg%2F11pyv5xk5q!19sChIJe8FLJutfkS0R-T5ZNts8KvU?authuser=0&hl=en&rclk=1,Daily Coffee,5,-1,Coffee shop
https://www.google.com/maps/place/Monte+Cafe/data=!4m7!3m6!1s0x2d915f314b8b10d9:0xaabcf295199afbe1!8m2!3d-3.0077894!4d120.1895419!16s%2Fg%2F11ry5ylcdd!19sChIJ2RCLSzFfkS0R4fuaGZXyvKo?authuser=0&hl=en&rclk=1,Monte Cafe,4.5,-43,Coffee shop
https://www.google.com/maps/place/Point+Space+Cafe/data=!4m7!3m6!1s0x2d915900184da77d:0x5ae3d439d95967af!8m2!3d-3.0270416!4d120.2133464!16s%2Fg%2F11x0yjln3_!19sChIJfadNGABZkS0Rr2dZ2TnU41o?authuser=0&hl=en&rclk=1,Point Space Cafe,5,-4,Restaurant
https://www.google.com/maps/place/Nuansa+coffee+palopo/data=!4m7!3m6!1s0x2d915995f036ef61:0x760da53212dd3127!8m2!3d-3.0322582!4d120.214252!16s%2Fg%2F11w1hddtx5!19sChIJYe828JVZkS0RJzHdEjKlDXY?authuser=0&hl=en&rclk=1,Nuansa coffee palopo,5,-8,Cafe
https://www.google.com/maps/place/Cafe+RBOS/data=!4m7!3m6!1s0x2d915fa1a0f1e83b:0x6326c768f1eb9b86!8m2!3d-3.0124256!4d120.201629!16s%2Fg%2F11sg_4qsrq!19sChIJO-jxoKFfkS0Rhpvr8WjHJmM?authuser=0&hl=en&rclk=1,Cafe RBOS,4.2,-60,Cafe
https://www.google.com/maps/place/Tanaluwu+Coffee+Roastery/data=!4m7!3m6!1s0x2d915fa2714c091d:0x14735b8d798a35cd!8m2!3d-2.9959666!4d120.2019013!16s%2Fg%2F11jgtrd3hy!19sChIJHQlMcaJfkS0RzTWKeY1bcxQ?authuser=0&hl=en&rclk=1,Tanaluwu Coffee Roastery,5,-21,Coffee shop
https://www.google.com/maps/place/Trip+House+Cafe/data=!4m7!3m6!1s0x2d915f94ffbddd67:0xde58c399338a5a9d!8m2!3d-2.9968399!4d120.1847577!16s%2Fg%2F11qbgyd_vp!19sChIJZ929_5RfkS0RnVqKM5nDWN4?authuser=0&hl=en&rclk=1,Trip House Cafe,4.9,-83,Indonesian
https://www.google.com/maps/place/Enzyme+Eatery/data=!4m7!3m6!1s0x2d915f1b77fb7d27:0xf1ab38e063f1c2c2!8m2!3d-3.0022151!4d120.1986192!16s%2Fg%2F11ckr5xgx2!19sChIJJ337dxtfkS0RwsLxY-A4q_E?authuser=0&hl=en&rclk=1,Enzyme Eatery,4.3,-972,Cafe
https://www.google.com/maps/place/tita.Id_coffee/data=!4m7!3m6!1s0x2d915940e128a33b:0x35a362228218ba67!8m2!3d-3.0310358!4d120.2150641!16s%2Fg%2F11y7jnsj92!19sChIJO6Mo4UBZkS0RZ7oYgiJiozU?authuser=0&hl=en&rclk=1,tita.Id_coffee,4.4,-16,Cafe
https://www.google.com/maps/place/Myoung-ga+Express+Palopo/data=!4m7!3m6!1s0x2d915ff0e868d8fd:0x1b5b4bffcadfcc4f!8m2!3d-3.023182!4d120.2110044!16s%2Fg%2F11qs71jwb1!19sChIJ_dho6PBfkS0RT8zfyv9LWxs?authuser=0&hl=en&rclk=1,Myoung-ga Express Palopo,4.6,-113,Restaurant
https://www.google.com/maps/place/Upstreet/data=!4m7!3m6!1s0x2d915fe23a5720d5:0xa3cbc4f6cb2ed739!8m2!3d-3.0119565!4d120.2026423!16s%2Fg%2F11fnw0mwbl!19sChIJ1SBXOuJfkS0ROdcuy_bEy6M?authuser=0&hl=en&rclk=1,Upstreet,4.4,-108,Coffee shop
https://www.google.com/maps/place/Kafe+jalan+lingkar+%28kawasan+lingkar+timur+palopo%29/data=!4m7!3m6!1s0x2d915f30eb6d64cd:0x14783a22f29f63d6!8m2!3d-2.986032!4d120.1989672!16s%2Fg%2F11fkw8jhkm!19sChIJzWRt6zBfkS0R1mOf8iI6eBQ?authuser=0&hl=en&rclk=1,Kafe jalan lingkar (kawasan lingkar timur palopo),4.5,-21,Cafe
https://www.google.com/maps/place/Maika+Beach+Club/data=!4m7!3m6!1s0x2d915ecc751ec4a3:0x2f72da1068f12d32!8m2!3d-3.0223303!4d120.222214!16s%2Fg%2F11hckb9v8s!19sChIJo8QedcxekS0RMi3xaBDaci8?authuser=0&hl=en&rclk=1,Maika Beach Club,3.6,-230,Grill
https://www.google.com/maps/place/seNAT+coffee/data=!4m7!3m6!1s0x2d915f3c7f73a93d:0x9f19eb76bf5bdc74!8m2!3d-3.0072036!4d120.1897852!16s%2Fg%2F11frp51_y7!19sChIJPalzfzxfkS0RdNxbv3brGZ8?authuser=0&hl=en&rclk=1,seNAT coffee,4.9,-21,Cafe
https://www.google.com/maps/place/Epilog+Kopi/data=!4m7!3m6!1s0x2d915f7a85956575:0x6c564ea3c551c280!8m2!3d-2.9950592!4d120.1965964!16s%2Fg%2F11f76093pn!19sChIJdWWVhXpfkS0RgMJRxaNOVmw?authuser=0&hl=en&rclk=1,Epilog Kopi,4.7,-109,Coffee shop
https://www.google.com/maps/place/Cafe+Pesona+Kampong/data=!4m7!3m6!1s0x2d93e1f6a4d8a501:0x4dc56b8f4ce9816b!8m2!3d-3.0072168!4d120.14637!16s%2Fg%2F11mfglrm1d!19sChIJAaXYpPbhky0Ra4HpTI9rxU0?authuser=0&hl=en&rclk=1,Cafe Pesona Kampong,4.5,-128,Cafe
https://www.google.com/maps/place/SUDUT+KOPI/data=!4m7!3m6!1s0x2d915f087f5963fd:0x7af8fb8c6d3ba09!8m2!3d-2.9930969!4d120.1937806!16s%2Fg%2F11g8yj5b1d!19sChIJ_WNZfwhfkS0RCbrTxriPrwc?authuser=0&hl=en&rclk=1,SUDUT KOPI,4.5,-256,Coffee shop
https://www.google.com/maps/place/Sarang+Awan+home+cafe/data=!4m7!3m6!1s0x2d915fbed3ed9273:0x9471e106ad3faed4!8m2!3d-3.0118786!4d120.1943031!16s%2Fg%2F11jl2lzs3k!19sChIJc5Lt075fkS0R1K4_rQbhcZQ?authuser=0&hl=en&rclk=1,Sarang Awan home cafe,4.7,-22,Restaurant
https://www.google.com/maps/place/Marina+Kuliner+Food+Court/data=!4m7!3m6!1s0x2d915f99f1be61a5:0x13ed333031da65ce!8m2!3d-3.0063251!4d120.2130327!16s%2Fg%2F11v0b7d4_0!19sChIJpWG-8ZlfkS0RzmXaMTAz7RM?authuser=0&hl=en&rclk=1,Marina Kuliner Food Court,4.4,-82,Restaurant
https://www.google.com/maps/place/Kedai+satu+titik/data=!4m7!3m6!1s0x2d915f001e4de18f:0x3c816f985a27ef16!8m2!3d-3.0104743!4d120.2110222!16s%2Fg%2F11w_kp1krz!19sChIJj-FNHgBfkS0RFu8nWphvgTw?authuser=0&hl=en&rclk=1,Kedai satu titik,5,-2,Coffee shop
https://www.google.com/maps/place/Cafe+Bersama/data=!4m7!3m6!1s0x2d915f7bbdae87e1:0x321dafce3994c546!8m2!3d-3.0015578!4d120.2001415!16s%2Fg%2F11t_pm3yf0!19sChIJ4YeuvXtfkS0RRsWUOc6vHTI?authuser=0&hl=en&rclk=1,Cafe Bersama,5,-1,Coffee shop
