,nama,rating,jumlah_reviewer,tipe,lat,long,alamat,kelurahan,kecamatan,kota,bayesian_rating
679,Babathe X Luce Nusantara resto and gelato,5.0,2065,Cafe,-5.1268907,119.408432,"Indomaret, Jalan Lembeh, Ende, Wajo, Makassar, Sulawesi Selatan, Sulawesi, 90174, Indonesia",Ende,Wajo,Makassar,4.973723585130974
790,Lucé Gelato,4.9,3530,Cafe,-5.1271194,119.4087565,"Toko Cahaya oleh-oleh Makassar, Jalan Lembeh, Ende, Wajo, Makassar, Sulawesi Selatan, Sulawesi, 90174, Indonesia",Ende,Wajo,Makassar,4.887236631824696
1032,Cocospace Cafe,4.9,796,Cafe,-5.1518531,119.4202939,"Barts Goods (@barts.goods), No. 25b, Jalan Lanto Daeng Pasewang, Maricaya, Makassar, Sulawesi Selatan, Sulawesi, 90131, Indonesia",Maricaya,Makassar,Makassar,4.848569403223028
1039,Kedai Lawas Monginsidi,4.9,746,Coffee shop,-5.1487871,119.4234052,"Jalan Monginsidi, Maricaya Baru, Makassar, Sulawesi Selatan, Sulawesi, 90142, Indonesia",Maricaya Baru,Makassar,Makassar,4.845552751446421
12,Squid Coffee,4.9,715,Coffee shop,-5.1545807,119.4410442,"Jalan Topaz Raya, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Masale,Panakkukang,Makassar,4.84349800082193
1106,Chatime,4.9,425,Coffee shop,-5.1526071,119.4177533,"Mall Ratu Indah, Jalan Sam Ratulangi, Mamajang Luar, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90131, Indonesia",Mamajang Luar,Mamajang,Makassar,4.812665875983345
530,Houslatte Sungai Saddang,5.0,194,Cafe,-5.1462543,119.422566,"Sawawa Advertising, 70, Jalan Sungai Saddang Lama, Maradekaya Selatan, Makassar, Sulawesi Selatan, Sulawesi, 90142, Indonesia",Maradekaya Selatan,Makassar,Makassar,4.810089089717983
545,Houslatte Grestelina,5.0,190,Coffee shop,-5.1628719,119.4456813,"Rumah Sakit Grestelina, Jalan Toddopuli II, Paʼnyikkokang, Pandang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90222, Indonesia",Pandang,Panakkukang,Makassar,4.807526578819427
1057,Djournal Coffee - Trans Studio Makassar,4.9,371,Coffee shop,-5.1592092,119.3942765,"my Kopi O!, Jalan Metro Tanjung Bunga, Maccini Sombala, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 90134, Indonesia",Maccini Sombala,Tamalate,Makassar,4.802788209823078
9,Pojok kopi topaz,4.9,344,Coffee shop,-5.1540228,119.4398174,"Panembahan Adiwisata Tour, Jalan Topaz Raya, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Masale,Panakkukang,Makassar,4.7969612651075755
15,Kaori Coffee - Adyaksa17,4.9,277,Coffee shop,-5.1610008,119.4457964,"Warung Barokah 354, Jalan Adhyaksa, Pandang, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Pandang,Panakkukang,Makassar,4.778957132701072
333,Kaori Coffee - BTP,4.9,265,Coffee shop,-5.1322163,119.5006162,"Jalan Tamalanrea Raya, Bumi Tamalanrea Permai, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar,4.775046690352045
774,Kopi Toraja Premium Arabika dan Robusta cocok juga sebagai oleh oleh,5.0,132,Cafe,-5.1547619,119.4152978,"Kantor Samsat, No. 79, Jalan Andi Mappanyukki, Mario, Mariso, Makassar, Sulawesi Selatan, Sulawesi, 90154, Indonesia",Mario,Mariso,Makassar,4.760708836188899
1021,Eskopi Monginsidi,4.9,200,Coffee shop,-5.1484951,119.4228794,"Jalan Monginsidi, Maricaya Baru, Makassar, Sulawesi Selatan, Sulawesi, 90142, Indonesia",Maricaya Baru,Makassar,Makassar,4.748542867103109
107,Kopi Teko,4.9,150,Coffee store,-5.1752081,119.439402,"Gunung Sari, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 92221, Indonesia",Gunung Sari,Rappocini,Makassar,4.719012731917239
457,BACO Banana Coffee House,5.0,96,Coffee shop,-5.1863628,119.4315892,"Jalan Muhajirin Lorong 2, Bonto Manaik, Mangasa, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 90235, Indonesia",Mangasa,Tamalate,Makassar,4.718156635477249
1256,Niels Cafe Mappanyuki,4.8,304,Coffee shop,-5.153496,119.4149126,"Jalan Andi Mappanyukki, Kunjung Mae, Mariso, Makassar, Sulawesi Selatan, Sulawesi, 90131, Indonesia",Kunjung Mae,Mariso,Makassar,4.712853659495415
1019,Aming Coffee Makasar,4.8,296,Coffee shop,-5.1486737,119.414617,"Jalan Andi Mappanyukki, Kunjung Mae, Mariso, Makassar, Sulawesi Selatan, Sulawesi, 90131, Indonesia",Kunjung Mae,Mariso,Makassar,4.711121321764999
6,Myko Cafe-Panakkukang,4.8,288,Cafe,-5.1570495,119.4469294,"Mall Panakkukang, Jalan Boulevard, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Masale,Panakkukang,Makassar,4.709318714666219
26,Kopi 2 SKS,4.9,131,Coffee shop,-5.1611758,119.4404319,"Jalan Stapak Pengayoman, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",Masale,Panakkukang,Makassar,4.704530398994619
1023,Kopi Konnichiwa - Singa,4.8,232,Coffee shop,-5.1587126,119.4190489,"Jalan Singa, Bonto Biraeng, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90132, Indonesia",Bonto Biraeng,Mamajang,Makassar,4.694314352344406
