nama,review
ekov_3,"Awalnya penasaran deket hotel kuk ramai sekali dimalam hari.
Saya coba datang moment breakfast dan mereka sudah buka . Tempatnya nyaman, luas parkiran juga cukup memadai.
Saya pesen pineapple americano extra shoot no sugar dengan menu breakfastnya and boom enak banget.
Saya juga pesan coldbrewnya original black & aren sebagai oleh2 , type rasanya ringan dimulut dan arennya menuju creamy.
Pertahankan rasa dan kualitasnya ya Onkel Johns 👍👍👍."
Siba Waihi,"Kopi & snack nya enak, tersedia makanan berat, parkir luas, live music nya keren"
Alvia Fadliana,"Tempatnya sangat nyaman, tenang, relax.
sy order pizza, rasanya masuk banget di lidahku,
Minumnya pesen moccacino, sukaaaaaa bangeetttt, rasanya PAS banget🤍🤍🤍 Manisnya dapat, Pahitnya Dapat"
aisah ulfah Syam,Temptnya bagus makanan enak & ada live musiknya bagus
Muhammad Ikhsan,"Saya pesan mie kuah tom yam, enak dan segar. Topping ayamnya tidak pelit. Paling sempat merasa dibeberapa bagian mie nya yg masih kerasa, semacam kurang direbus. Suasananya nyaman, kalau siang harus cari meja yang agak di dalam, kalau agak diluar dekat pintu akan cukup panas karena mengahadap langsung ke matahari dan dinding depannya mostly kaca."
Sanisa Sanusi Rauf,"Cafe yg nyaman n cozy u menikmati makanan n minuman yg enak. Club sandwichx lezat, juga kopi gula arennya .Banyak varian makanan yg tersedia n kadang ada live music di hari tertentu."
Project 86,"Pizza nya keren tawwa...
Bisa jadi makanan favorite
Ditambah band nya sugar daddy
Setiap mlm minggu saya di onkel john's"
Piter Halim,"We haven't even scratched the surface in this place, they had quite many to offer.

We only ordered Pepperoni Pizza and drinks : OJ O Cinna which is a fresh moktail mixed with Guava, Sunquick syrup and Lychee as topping along with Cold fresh milk.

The pizza is OK, thin pizza which I preferred more than the regular.
Topping a bit less to my opinion

Drinks are average, not really special.
Not their fault coz we're not order what is their specialty which is Coffee 😁

I quite like the design of this place, industrial with many vintage properties and stuff. Surely you will got many good photo shoots here."
Lidwina RA Sinaga,"Tempat favorite buat wfc. Kopi nya enak. Suasananya juga enak, apalagi kalau hujan, syahdu.
Tapi kalau pas ada nobar, suka rame jadi kesana pasti kalau nggak ada nobar."
an dwi,"Enak tempatnya bisa buat nobar juga. Lumayan rame pas malam minggu. Makanannya boleh juga, minuman juga oke. Pegawainya ramah juga bisa request macem-macem. Buka sampe dini hari jadi pas buat yg laper tengah malem"
IKA Poltekpar Mks,"Cafe dengan suasana yang nyaman, makanan dan minuman nya cukup bervariasi.
Ruangannya ber AC tapi Boleh merokok
Harga cukup bersahabat untuk tempat sebagus ini, toilet bersih, ada mushola nya bersih dan bagus
Rekomen lah pokoknya
Coba Chicken Cordon Bleu dan Salmon Bouillabaisse nya. Mantapp"
FX Martin,secara umum tempatnya enak utk ngobrol dan ngopi... cuma karena bebas merokok bagi yang tidak merokok agak terganggu.... apabila boleh saran sebaiknya ada ruangan utk merokok dan non-perokok agar nyaman semua nya....
Aiy Arafat,"Menu rekomendasi itu Cold Brew Gula Aren 45k dan 1 liternya 125K, harga menu yang lain relatif terjangkau. Tempat cukup luas dengan nuansa classic. Wifinya juga lancar. Tersedia meeting room buat yang mau ada kumpul”

Parkiran mobil dan motor tersedia."
