X,name...2,rating,num_reviewers,type...5,lat,long,address,place_id,licence,osm_type,osm_id,osm_lat,osm_lon,class,type...16,place_rank,importance,addresstype,name...20,amenity,road,hamlet,suburb,city_district,city,state,ISO3166-2-lvl4,region,ISO3166-2-lvl3,postcode,country,country_code,boundingbox,residential,shop,tourism,commercial,house_number,building,district,office,village,retail,neighbourhood,leisure,historic,municipality,town,county,man_made,place,industrial,healthcare,city_block
0,Kopi Teori New Chapter,4.7,452,Coffee shop,-5.1552828,119.4401047,"WARKOP SAMI, Jalan Boulevard, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",24712500,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,350330270,-5.1552925,119.4399494,amenity,cafe,30,5.50019073776916e-05,amenity,WARKOP SAMI,WARKOP SAMI,Jalan Boulevard,Masale,Masale,Panakkukang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,92300,Indonesia,id,-5.1554174|-5.1552195|119.4398599|119.4400391,,,,,,,,,,,,,,,,,,,,,
1,Kopikost - Coffee & Roastery,4.6,128,Coffee shop,-5.1444941,119.452607,"Profesor Abdurrahman Basalamah, Karampuang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",24804835,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,709054898,-5.1444531,119.4524617,highway,secondary,26,0.053388335240711,road,Profesor Abdurrahman Basalamah,,Profesor Abdurrahman Basalamah,Karampuang,Karampuang,Panakkukang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90135,Indonesia,id,-5.1463853|-5.1410297|119.4517972|119.4527910,Karampuang,,,,,,,,,,,,,,,,,,,,
2,Melos Coffee & Eatery,4.3,311,Coffee shop,-5.1354544,119.434586,"Jalan Perkebunan, Sinrijala, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90152, Indonesia",24763127,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,275701608,-5.1354791,119.4344718,highway,residential,26,0.053388335240711,road,Jalan Perkebunan,,Jalan Perkebunan,,Sinrijala,Panakkukang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90152,Indonesia,id,-5.1379677|-5.1351982|119.4344110|119.4349840,,,,,,,,,,,,,,,,,,,,,
3,Institut KOPI,4.7,183,Coffee shop,-5.1543094,119.4391305,"Jalan Topaz Raya, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",24849047,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,227901069,-5.1543320,119.4391264,highway,residential,26,0.053388335240711,road,Jalan Topaz Raya,,Jalan Topaz Raya,Masale,Masale,Panakkukang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,92300,Indonesia,id,-5.1546373|-5.1543118|119.4390159|119.4407915,,,,,,,,,,,,,,,,,,,,,
4,Postropis Coffee & Space,4.8,81,Coffee shop,-5.1329919,119.4332702,"Jalan Adipura Raya, Tamajeʼneʼ, Karuwisi Utara, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90152, Indonesia",24767358,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,190748730,-5.1330250,119.4333216,highway,residential,26,0.053388335240711,road,Jalan Adipura Raya,,Jalan Adipura Raya,Tamajeʼneʼ,Karuwisi Utara,Panakkukang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90152,Indonesia,id,-5.1348828|-5.1290377|119.4322095|119.4358655,,,,,,,,,,,,,,,,,,,,,
5,Kopi Soe Panakkukang,4.6,271,Cafe,-5.1556002,119.4441017,"Jalan Boulevard Panakkukang Mas, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",24632104,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,227907164,-5.1556901,119.4440871,highway,service,27,0.0400550019073777,road,Jalan Boulevard Panakkukang Mas,,Jalan Boulevard Panakkukang Mas,Masale,Masale,Panakkukang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90231,Indonesia,id,-5.1557212|-5.1554601|119.4426714|119.4442787,,,,,,,,,,,,,,,,,,,,,
6,Myko Cafe-Panakkukang,4.8,288,Cafe,-5.1570495,119.4469294,"Mall Panakkukang, Jalan Boulevard, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",25022706,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,895008131,-5.1570937,119.4463927,shop,supermarket,30,5.50019073776916e-05,shop,Mall Panakkukang,,Jalan Boulevard,Masale,Masale,Panakkukang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90231,Indonesia,id,-5.1572920|-5.1569073|119.4460522|119.4469679,,Mall Panakkukang,,,,,,,,,,,,,,,,,,,
7,Konya Coffee & Eatery (Ex-Bonefa),4.7,68,Cafe,-5.1462954,119.4503679,"Klinik Racing, Jalan Profesor Abdurrahman Basalamah, Karampuang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90245, Indonesia",24725337,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,421119269,-5.1463421,119.4504485,amenity,clinic,30,5.50019073776916e-05,amenity,Klinik Racing,Klinik Racing,Jalan Profesor Abdurrahman Basalamah,Karampuang,Karampuang,Panakkukang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90245,Indonesia,id,-5.1464424|-5.1462418|119.4503870|119.4505100,,,,,,,,,,,,,,,,,,,,,
8,Kopi Api Coffee Roasters,4.6,741,Coffee shop,-5.1616122,119.4497652,"Pasar Segar, Jalan Toddopuli III, Perumnas Toddppuli, Paʼnyikkokang, Pandang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",24570099,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,82487074,-5.1620642,119.4499384,amenity,marketplace,30,5.50019073776916e-05,amenity,Pasar Segar,Pasar Segar,Jalan Toddopuli III,Paʼnyikkokang,Pandang,Panakkukang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90231,Indonesia,id,-5.1625090|-5.1615865|119.4492087|119.4506630,Perumnas Toddppuli,,,,,,,,,,,,,,,,,,,,
9,Pojok kopi topaz,4.9,344,Coffee shop,-5.1540228,119.4398174,"Panembahan Adiwisata Tour, Jalan Topaz Raya, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",25029760,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,3587337947,-5.1540862,119.4398739,shop,ticket,30,5.50019073776916e-05,shop,Panembahan Adiwisata Tour,,Jalan Topaz Raya,Masale,Masale,Panakkukang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,92300,Indonesia,id,-5.1541362|-5.1540362|119.4398239|119.4399239,,Panembahan Adiwisata Tour,,,,,,,,,,,,,,,,,,,
